timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-03,85.74,87.03,85.685,86.1,86.1,4627646,0.0000,1.0
2020-12-02,83.69,85.59,83.61,85.29,85.29,5272794,0.0000,1.0
2020-12-01,83.05,84.62,82.88,84.27,84.27,7021837,0.0000,1.0
2020-11-30,82.0,82.59,80.7075,82.48,82.48,7543095,0.0000,1.0
2020-11-27,81.81,83.53,81.68,82.66,82.66,3098229,0.0000,1.0
2020-11-25,82.895,83.02,81.07,81.14,81.14,5518508,0.0000,1.0
2020-11-24,81.0,83.14,79.82,82.95,82.95,9518681,0.0000,1.0
2020-11-23,76.9718,80.58,76.9718,80.5,80.5,8809829,0.0000,1.0
2020-11-20,77.2,78.57,76.68,76.725,76.725,7609745,0.0000,1.0
2020-11-19,75.26,77.51,74.51,77.25,77.25,8990081,0.0000,1.0
2020-11-18,74.69,76.67,74.59,75.71,75.71,10667679,0.2200,1.0
2020-11-17,73.76,74.57,73.06,74.37,74.1545199526,5460128,0.0000,1.0
2020-11-16,72.97,74.53,72.58,74.48,74.264201238,8104390,0.0000,1.0
2020-11-13,72.27,73.94,71.505,72.81,72.5990399052,10182304,0.0000,1.0
2020-11-12,70.86,71.15,69.43,69.8,69.5977610957,8555129,0.0000,1.0
2020-11-11,70.2032,71.7,69.8849,71.16,70.9538206243,8071944,0.0000,1.0
2020-11-10,70.95,71.49,69.1,69.39,69.188949032,8206498,0.0000,1.0
2020-11-09,73.2,75.93,71.26,71.3,71.0934149875,10154563,0.0000,1.0
2020-11-06,68.9,70.86,68.35,70.53,70.3256459897,8639662,0.0000,1.0
2020-11-05,66.0,70.06,65.91,69.95,69.7473264849,13118074,0.0000,1.0
2020-11-04,63.44,65.19,62.13,64.86,64.6720742789,9808323,0.0000,1.0
2020-11-03,60.99,62.44,60.99,61.83,61.6508534176,9967589,0.0000,1.0
2020-11-02,59.95,60.475,59.53,60.33,60.1551995259,7475407,0.0000,1.0
2020-10-30,58.74,59.28,58.26,59.23,59.0583866719,7338657,0.0000,1.0
2020-10-29,57.23,60.23,56.95,59.5,59.3276043724,6314380,0.0000,1.0
2020-10-28,57.78,58.22,56.87,57.32,57.1539207164,8976958,0.0000,1.0
2020-10-27,59.78,59.99,58.77,58.83,58.6595456341,4626324,0.0000,1.0
2020-10-26,60.325,60.5,58.65,59.51,59.3375753984,6715421,0.0000,1.0
2020-10-23,61.7,62.17,60.66,60.95,60.7734031345,6520098,0.0000,1.0
2020-10-22,61.73,62.15,60.86,61.7,61.5212300803,6014586,0.0000,1.0
2020-10-21,62.4,62.86,61.91,62.11,61.9300421441,6188889,0.0000,1.0
2020-10-20,62.67,63.01,62.02,62.26,62.0796075333,4479873,0.0000,1.0
2020-10-19,63.17,63.62,61.8141,62.05,61.8702159884,5757543,0.0000,1.0
2020-10-16,63.76,63.93,62.405,63.0,62.8174634532,6841070,0.0000,1.0
2020-10-15,62.4,63.685,62.02,63.51,63.3259857764,6397398,0.0000,1.0
2020-10-14,64.9,65.18,63.43,63.98,63.7946239958,5824029,0.0000,1.0
2020-10-13,65.24,65.42,64.155,64.69,64.5025668379,7189885,0.0000,1.0
2020-10-12,64.06,65.12,63.98,64.68,64.4925958119,7021872,0.0000,1.0
2020-10-09,63.29,63.81,63.06,63.29,63.1066232056,6367103,0.0000,1.0
2020-10-08,61.7,62.697,61.37,62.6,62.4186224154,5411867,0.0000,1.0
2020-10-07,61.5,61.79,60.915,61.12,60.9429105755,5335383,0.0000,1.0
2020-10-06,60.33,62.16,60.17,60.4,60.2249967075,6947868,0.0000,1.0
2020-10-05,58.93,60.63,58.76,60.6,60.4244172264,6694647,0.0000,1.0
2020-10-02,59.09,59.66,58.19,58.21,58.0413420255,7103905,0.0000,1.0
2020-10-01,60.37,61.02,59.51,60.65,60.4742723561,7542796,0.0000,1.0
2020-09-30,59.43,60.183,58.99,59.45,59.2777492427,9074380,0.0000,1.0
2020-09-29,59.3814,60.25,59.15,59.65,59.4771697616,5427837,0.0000,1.0
2020-09-28,58.28,59.85,58.25,59.36,59.1880100092,8615960,0.0000,1.0
2020-09-25,57.49,58.38,56.65,58.23,58.0612840774,6542598,0.0000,1.0
2020-09-24,56.94,58.82,56.76,57.79,57.6225589359,6318534,0.0000,1.0
2020-09-23,58.1,58.88,57.01,57.25,57.0841235348,8831791,0.0000,1.0
2020-09-22,57.96,58.11,56.71,57.89,57.7222691953,7629281,0.0000,1.0
2020-09-21,55.21,57.36,54.15,57.32,57.1539207164,8494306,0.0000,1.0
2020-09-18,56.79,56.8,55.195,56.15,55.9873106809,11912995,0.0000,1.0
2020-09-17,54.82,56.63,54.69,56.34,56.1767601738,7098656,0.0000,1.0
2020-09-16,57.49,58.195,56.38,56.47,56.3063835111,8340864,0.0000,1.0
2020-09-15,57.23,57.88,56.48,57.2,57.0342684051,7209788,0.0000,1.0
2020-09-14,56.23,57.115,56.12,56.46,56.2964124852,8495715,0.0000,1.0
2020-09-11,55.61,56.31,54.675,55.0,54.8406426972,9203264,0.0000,1.0
2020-09-10,55.6,56.25,54.94,55.12,54.9602950086,10670524,0.0000,1.0
2020-09-09,56.61,56.98,54.51,55.2,55.0400632161,16267604,0.0000,1.0
2020-09-08,57.07,57.79,55.32,55.63,55.4688173318,20934765,0.0000,1.0
2020-09-04,61.21,61.83,58.5498,60.96,60.7833741604,14688155,0.0000,1.0
2020-09-03,64.19,64.37,61.05,61.46,61.2819254577,11012979,0.0000,1.0
2020-09-02,62.49,65.3,62.37,65.08,64.8914368497,10802478,0.0000,1.0
2020-09-01,61.98,62.1,61.23,61.89,61.7106795733,7922675,0.0000,1.0
2020-08-31,62.44,62.61,61.4184,61.6,61.4215198209,6454221,0.0000,1.0
2020-08-28,62.06,63.1,61.97,63.07,62.8872606348,5206045,0.0000,1.0
2020-08-27,64.29,64.29,61.29,62.03,61.8502739365,8917799,0.0000,1.0
2020-08-26,64.05,64.26,63.49,63.76,63.575261425,5965129,0.0000,1.0
2020-08-25,64.11,64.65,63.43,64.05,63.8644211774,5157230,0.0000,1.0
2020-08-24,63.36,63.8,62.68,63.74,63.5553193731,8366548,0.0000,1.0
2020-08-21,63.1,63.28,61.92,62.27,62.0895785592,11150608,0.0000,1.0
2020-08-20,64.71,64.82,63.28,63.79,63.6051745028,8307751,0.0000,1.0
2020-08-19,66.57,66.73,65.69,65.87,65.6791478994,4979510,0.2200,1.0
2020-08-18,67.39,67.39,66.07,66.43,66.0170342708,6166721,0.0000,1.0
2020-08-17,68.1,68.23,66.77,66.94,66.5238638279,6875037,0.0000,1.0
2020-08-14,67.39,69.9,66.5,67.62,67.1996365707,23421915,0.0000,1.0
2020-08-13,66.36,66.6,64.61,65.07,64.6654887852,10684354,0.0000,1.0
2020-08-12,64.99,66.67,64.7,66.5,66.086599112,6177867,0.0000,1.0
2020-08-11,65.32,66.12,64.23,64.46,64.0592808836,7608649,0.0000,1.0
2020-08-10,63.65,65.28,63.62,65.24,64.8344319709,7386983,0.0000,1.0
2020-08-07,63.69,65.01,62.78,63.57,63.1748136172,7124232,0.0000,1.0
2020-08-06,63.87,64.17,62.6,63.61,63.2145649551,7395898,0.0000,1.0
2020-08-05,64.8726,65.25,64.42,64.87,64.4667320961,4574091,0.0000,1.0
2020-08-04,65.0,65.2,64.18,64.85,64.4468564272,5190185,0.0000,1.0
2020-08-03,64.79,65.59,64.68,65.01,64.6058617785,5540739,0.0000,1.0
2020-07-31,64.79,64.79,63.12,64.33,63.9300890357,5901236,0.0000,1.0
2020-07-30,63.23,64.43,62.987,64.42,64.0195295457,5525019,0.0000,1.0
2020-07-29,62.67,63.66,62.17,63.25,62.8568029148,4621405,0.0000,1.0
2020-07-28,62.53,62.95,61.9,62.3,61.9127086417,4565741,0.0000,1.0
2020-07-27,61.63,63.065,61.11,63.01,62.6182948879,7194708,0.0000,1.0
2020-07-24,60.37,61.35,59.62,60.62,60.2431524536,11040982,0.0000,1.0
2020-07-23,64.33,65.33,63.2,63.63,63.234440624,5351832,0.0000,1.0
2020-07-22,63.58,64.61,63.52,64.22,63.8207728567,5027849,0.0000,1.0
2020-07-21,64.12,64.84,63.26,63.81,63.4133216441,5674930,0.0000,1.0
2020-07-20,62.61,63.9,61.88,63.73,63.3338189685,4927116,0.0000,1.0
2020-07-17,62.85,62.85,61.95,62.3,61.9127086417,4585216,0.0000,1.0
2020-07-16,61.61,62.62,61.5,62.34,61.9524599795,3934305,0.0000,1.0
2020-07-15,62.75,62.84,61.3,62.1,61.7139519527,5226458,0.0000,1.0
