timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-03,114.15,115.4229,113.16,113.58,113.58,1462912,0.0000,1.0
2020-12-02,115.63,115.95,114.13,114.57,114.57,1735789,0.0000,1.0
2020-12-01,117.58,118.38,115.037,115.36,115.36,1730278,0.0000,1.0
2020-11-30,113.89,117.07,113.67,116.9,116.9,3778434,0.0000,1.0
2020-11-27,113.77,114.98,112.94,114.09,114.09,983723,0.0000,1.0
2020-11-25,116.09,116.96,113.41,114.35,114.35,2862483,0.0000,1.0
2020-11-24,118.96,118.96,111.43,114.68,114.68,5559774,0.0000,1.0
2020-11-23,111.4,112.42,109.56,112.21,112.21,3258707,0.0000,1.0
2020-11-20,108.64,112.3,108.315,110.89,110.89,2775652,0.0000,1.0
2020-11-19,106.74,108.96,105.19,108.68,108.68,1886381,0.0000,1.0
2020-11-18,109.55,109.88,105.73,105.95,105.95,2048056,0.0000,1.0
2020-11-17,110.5,110.77,109.245,109.86,109.86,1571458,0.0000,1.0
2020-11-16,111.0,111.49,109.47,110.27,110.27,1656148,0.0000,1.0
2020-11-13,110.46,111.54,109.78,110.17,110.17,1356781,0.0000,1.0
2020-11-12,109.4,111.01,108.895,109.44,109.44,1094278,0.0000,1.0
2020-11-11,111.14,111.79,108.84,109.41,109.41,1792823,0.0000,1.0
2020-11-10,112.82,112.91,108.99,110.2,110.2,2124829,0.0000,1.0
2020-11-09,116.16,117.5,112.39,112.5,112.5,2178042,0.0000,1.0
2020-11-06,110.76,113.35,110.325,112.54,112.54,1036556,0.0000,1.0
2020-11-05,110.57,111.93,109.67,110.34,110.34,1143082,0.0000,1.0
2020-11-04,108.07,109.8,107.24,108.49,108.49,1357382,0.0000,1.0
2020-11-03,106.43,108.11,106.14,107.03,107.03,1175149,0.0000,1.0
2020-11-02,103.52,105.35,103.29,105.24,105.24,1572506,0.0000,1.0
2020-10-30,101.77,102.35,100.6548,102.09,102.09,2310001,0.0000,1.0
2020-10-29,102.27,103.055,100.77,102.02,102.02,1421852,0.0000,1.0
2020-10-28,104.42,105.37,101.58,101.66,101.66,1180759,0.0000,1.0
2020-10-27,105.11,106.66,105.11,106.04,106.04,1111491,0.0000,1.0
2020-10-26,105.39,105.82,103.75,104.63,104.63,1101954,0.0000,1.0
2020-10-23,107.23,107.38,105.47,106.17,106.17,833937,0.0000,1.0
2020-10-22,105.32,107.09,105.11,106.77,106.77,1064683,0.0000,1.0
2020-10-21,105.92,106.69,104.12,104.83,104.83,893965,0.0000,1.0
2020-10-20,105.89,106.94,105.56,105.61,105.61,770994,0.0000,1.0
2020-10-19,106.78,107.62,105.24,105.49,105.49,635992,0.0000,1.0
2020-10-16,105.95,107.54,105.71,106.7,106.7,1039366,0.0000,1.0
2020-10-15,104.1,105.72,103.88,105.32,105.32,722985,0.0000,1.0
2020-10-14,105.49,106.67,104.92,105.06,105.06,906705,0.0000,1.0
2020-10-13,105.44,106.005,104.96,105.42,105.42,915482,0.0000,1.0
2020-10-12,106.45,107.0,105.32,105.43,105.43,1003703,0.0000,1.0
2020-10-09,104.83,106.1,104.55,105.76,105.76,708966,0.0000,1.0
2020-10-08,104.2,104.39,103.13,104.16,104.16,765334,0.0000,1.0
2020-10-07,102.47,104.75,102.42,103.88,103.88,1322141,0.0000,1.0
