timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-03,106.94,107.4336,105.71,106.54,106.54,4466315,0.0000,1.0
2020-12-02,108.03,109.47,107.2,107.47,107.47,3393771,0.0000,1.0
2020-12-01,108.78,109.49,107.15,108.86,108.86,5327321,0.0000,1.0
2020-11-30,112.68,112.68,108.57,108.8,108.8,6493681,0.0000,1.0
2020-11-27,115.0,115.09,112.08,112.63,112.63,3242386,0.0000,1.0
2020-11-25,114.06,116.44,113.0827,113.9,113.9,5503029,0.0000,1.0
2020-11-24,115.79,117.0496,113.2,113.54,113.54,11469648,0.0000,1.0
2020-11-23,120.21,124.31,119.9,122.04,122.04,4443761,0.0000,1.0
2020-11-20,119.88,120.74,118.97,119.14,119.14,1866503,0.0000,1.0
2020-11-19,118.42,120.5,117.77,118.83,118.83,1728442,0.0000,1.0
2020-11-18,119.1,120.16,117.74,117.77,117.77,2963118,0.0000,1.0
2020-11-17,118.12,120.87,117.36,119.02,119.02,2740898,0.0000,1.0
2020-11-16,115.0,118.8499,113.62,118.65,118.65,3306999,0.0000,1.0
2020-11-13,114.64,115.84,113.5,114.3,114.3,1832044,0.0000,1.0
2020-11-12,114.45,115.5,112.34,114.0,114.0,2279667,0.0000,1.0
2020-11-11,113.83,114.81,112.1,114.56,114.56,2058314,0.0000,1.0
2020-11-10,111.6,113.71,110.99,112.63,112.63,3906709,0.0000,1.0
2020-11-09,120.31,123.21,110.92,111.0,111.0,4896084,0.0000,1.0
2020-11-06,123.0,123.75,121.61,123.06,123.06,1670063,0.0000,1.0
2020-11-05,122.2,124.89,121.75,123.06,123.06,2489882,0.0000,1.0
2020-11-04,119.69,121.4,118.56,119.86,119.86,1916071,0.0000,1.0
2020-11-03,117.0,119.73,116.17,118.82,118.82,2033408,0.0000,1.0
2020-11-02,112.97,115.795,112.76,115.72,115.72,2838979,0.0000,1.0
2020-10-30,111.56,112.65,109.6,111.55,111.55,1897109,0.0000,1.0
2020-10-29,112.28,113.95,111.5,112.28,112.28,2107033,0.0000,1.0
2020-10-28,111.5,114.3,110.345,111.11,111.11,2264016,0.0000,1.0
2020-10-27,115.01,116.12,113.3,113.58,113.58,2143715,0.0000,1.0
2020-10-26,117.14,117.18,112.88,114.36,114.36,1377014,0.0000,1.0
2020-10-23,115.5,118.25,115.21,118.21,118.21,1858577,0.0000,1.0
2020-10-22,118.98,119.62,115.77,117.46,117.46,1977727,0.0000,1.0
2020-10-21,121.45,121.78,118.55,118.69,118.69,1772180,0.0000,1.0
2020-10-20,121.29,123.67,120.78,120.89,120.89,1725793,0.0000,1.0
2020-10-19,120.12,123.22,119.71,120.83,120.83,2260028,0.0000,1.0
2020-10-16,120.89,121.1,119.31,119.35,119.35,1855426,0.0000,1.0
2020-10-15,117.43,120.7433,116.9,120.56,120.56,1625462,0.0000,1.0
2020-10-14,118.93,119.9,117.39,118.44,118.44,1640980,0.0000,1.0
2020-10-13,118.12,119.15,117.21,118.21,118.21,1231774,0.0000,1.0
2020-10-12,117.87,118.7,116.86,118.33,118.33,1334002,0.0000,1.0
2020-10-09,115.37,118.25,115.11,116.59,116.59,2824096,0.0000,1.0
2020-10-08,115.13,115.65,113.91,114.92,114.92,1523429,0.0000,1.0
2020-10-07,114.0,115.44,113.76,114.49,114.49,1552469,0.0000,1.0
2020-10-06,115.98,116.43,112.25,112.45,112.45,2395375,0.0000,1.0
2020-10-05,112.57,116.74,112.57,116.07,116.07,2006376,0.0000,1.0
2020-10-02,111.04,113.46,111.01,112.42,112.42,1930575,0.0000,1.0
2020-10-01,112.69,114.72,111.86,114.09,114.09,3631204,0.0000,1.0
2020-09-30,109.5,112.41,109.5,111.29,111.29,2187144,0.0000,1.0
2020-09-29,109.94,111.22,108.84,110.08,110.08,2378908,0.0000,1.0
2020-09-28,107.25,108.57,106.65,108.44,108.44,1508159,0.0000,1.0
2020-09-25,105.1,106.64,104.25,105.97,105.97,1917164,0.0000,1.0
2020-09-24,106.12,106.86,104.11,104.77,104.77,2526662,0.0000,1.0
2020-09-23,108.07,109.78,106.39,106.49,106.49,1920405,0.0000,1.0
2020-09-22,106.41,108.25,105.905,107.63,107.63,1678534,0.0000,1.0
2020-09-21,104.04,105.97,103.49,105.97,105.97,2131085,0.0000,1.0
2020-09-18,105.42,107.38,104.64,105.58,105.58,2262787,0.0000,1.0
