timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-03,42.75,43.74,42.4,43.25,43.25,258922,0.0000,1.0
2020-12-02,42.56,43.02,41.1693,42.43,42.43,405945,0.0000,1.0
2020-12-01,44.03,44.19,42.77,42.8,42.8,416493,0.0000,1.0
2020-11-30,43.36,43.8,42.9,43.25,43.25,289372,0.1000,1.0
2020-11-27,43.82,44.0341,43.14,43.52,43.4196078431,88864,0.0000,1.0
2020-11-25,44.38,44.58,43.41,43.77,43.6690311419,345849,0.0000,1.0
2020-11-24,43.9,44.5,43.5132,44.21,44.1080161476,351246,0.0000,1.0
2020-11-23,43.69,44.12,43.33,43.62,43.5193771626,300333,0.0000,1.0
2020-11-20,43.98,44.19,43.27,43.4,43.2998846597,266352,0.0000,1.0
2020-11-19,44.22,44.95,43.8,44.55,44.4472318339,431095,0.0000,1.0
2020-11-18,43.91,44.6099,43.71,44.07,43.9683391003,297168,0.0000,1.0
2020-11-17,42.45,44.0,41.66,43.81,43.7089388697,380799,0.0000,1.0
2020-11-16,41.85,42.68,41.17,42.64,42.5416378316,283918,0.0000,1.0
2020-11-13,40.97,41.56,40.81,41.08,40.9852364475,195019,0.0000,1.0
2020-11-12,41.0,41.0,39.55,40.34,40.2469434833,394227,0.0000,1.0
2020-11-11,41.24,41.24,40.15,41.18,41.085005767,200086,0.0000,1.0
2020-11-10,40.52,41.2201,40.095,40.73,40.6360438293,416737,0.0000,1.0
2020-11-09,45.81,47.75,39.71,39.85,39.7580738178,506177,0.0000,1.0
2020-11-06,44.42,44.42,43.06,43.14,43.0404844291,237597,0.0000,1.0
2020-11-05,44.18,44.68,43.6,44.12,44.0182237601,337102,0.0000,1.0
2020-11-04,41.41,43.8398,41.08,43.73,43.6291234141,359147,0.0000,1.0
2020-11-03,41.9,42.55,40.77,42.38,42.2822376009,439620,0.0000,1.0
2020-11-02,39.32,41.84,38.7101,40.85,40.7557670127,657555,0.0000,1.0
2020-10-30,39.93,40.55,37.775,38.38,38.2914648212,541774,0.0000,1.0
2020-10-29,37.2,37.95,37.04,37.29,37.2039792388,248798,0.0000,1.0
2020-10-28,36.94,38.13,36.9,37.58,37.4933102653,291902,0.0000,1.0
2020-10-27,38.65,38.83,37.515,38.07,37.9821799308,242540,0.0000,1.0
2020-10-26,38.64,38.79,37.86,38.64,38.5508650519,240169,0.0000,1.0
2020-10-23,39.02,39.77,38.87,39.2,39.1095732411,147474,0.0000,1.0
2020-10-22,40.03,40.35,38.41,38.86,38.7703575548,274055,0.0000,1.0
2020-10-21,40.0,40.85,39.455,39.61,39.518627451,220117,0.0000,1.0
2020-10-20,39.22,40.37,39.1898,39.76,39.6682814302,292429,0.0000,1.0
2020-10-19,40.59,40.91,38.86,38.93,38.8401960784,356282,0.0000,1.0
2020-10-16,41.86,42.0,40.23,40.27,40.1771049596,250207,0.0000,1.0
2020-10-15,41.21,42.04,41.0,41.9,41.8033448674,261759,0.0000,1.0
2020-10-14,43.37,43.768,41.54,41.89,41.7933679354,299883,1.6000,1.0
2020-10-13,45.15,45.645,44.6,44.93,43.1771906493,624548,0.0000,1.0
2020-10-12,44.0,45.28,43.78,45.24,43.475096928,288859,0.0000,1.0
2020-10-09,43.85,44.23,43.16,43.61,41.9086864949,206403,0.0000,1.0
2020-10-08,44.23,44.49,42.8787,43.55,41.8510272152,249227,0.0000,1.0
2020-10-07,42.84,43.98,42.7483,43.8,42.0912742141,341322,0.0000,1.0
2020-10-06,42.41,43.05,41.85,42.1,40.4575946213,330294,0.0000,1.0
2020-10-05,41.72,42.08,41.17,41.87,40.2365673823,206799,0.0000,1.0
2020-10-02,39.71,41.28,39.5,40.95,39.3524584262,184650,0.0000,1.0
2020-10-01,40.09,40.77,39.65,40.58,38.9968928678,174402,0.0000,1.0
2020-09-30,39.94,40.4827,39.6,39.92,38.3626407906,356579,0.0000,1.0
2020-09-29,40.52,40.99,39.75,39.91,38.3530309106,222556,0.0000,1.0
2020-09-28,39.32,40.4,39.225,40.11,38.5452285098,228848,0.0000,1.0
2020-09-25,38.11,38.74,37.84,38.4,36.901939037,292429,0.0000,1.0
2020-09-24,38.19,39.1163,37.83,38.4,36.901939037,210972,0.0000,1.0
2020-09-23,39.41,39.6,38.09,38.11,36.6232525182,231161,0.0000,1.0
2020-09-22,38.31,39.805,38.02,39.6,38.0551246319,333481,0.0000,1.0
2020-09-21,38.92,39.0,37.2,38.07,36.5848129984,390947,0.0000,1.0
2020-09-18,40.82,41.46,39.3,39.79,38.2377123511,680136,0.0000,1.0
