timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-03,54.83,56.8,53.695,55.72,55.72,433720,0.0000,1.0
2020-12-02,55.5,55.87,52.52,54.6,54.6,732752,0.0000,1.0
2020-12-01,55.87,56.8,55.4201,56.39,56.39,305997,0.0000,1.0
2020-11-30,53.71,56.0,53.38,55.41,55.41,435456,0.0000,1.0
2020-11-27,53.25,54.06,52.65,53.94,53.94,123676,0.0000,1.0
2020-11-25,52.7,53.25,52.035,53.09,53.09,229100,0.0000,1.0
2020-11-24,52.75,54.16,51.7765,52.49,52.49,511406,0.0000,1.0
2020-11-23,49.9,52.66,49.42,52.45,52.45,381199,0.0000,1.0
2020-11-20,47.94,49.67,47.63,49.36,49.36,408810,0.0000,1.0
2020-11-19,47.27,48.42,47.13,48.29,48.29,181558,0.0000,1.0
2020-11-18,48.64,48.735,47.37,47.41,47.41,219225,0.0000,1.0
2020-11-17,48.08,48.94,47.13,48.37,48.37,206700,0.0000,1.0
2020-11-16,48.22,48.615,47.21,48.3,48.3,297893,0.0000,1.0
2020-11-13,47.91,47.985,46.22,47.5,47.5,178439,0.0000,1.0
2020-11-12,46.7,48.02,46.39,47.29,47.29,178873,0.0000,1.0
2020-11-11,50.17,50.17,46.77,47.35,47.35,288728,0.0000,1.0
2020-11-10,49.09,50.5,48.32,50.18,50.18,536772,0.0000,1.0
2020-11-09,46.97,49.805,46.97,48.82,48.82,449797,0.0000,1.0
2020-11-06,44.94,45.53,43.5,44.87,44.87,152221,0.0000,1.0
2020-11-05,44.61,45.36,44.25,44.92,44.92,202784,0.0000,1.0
2020-11-04,43.79,45.12,43.79,44.41,44.41,188137,0.0000,1.0
2020-11-03,43.68,44.31,43.16,44.18,44.18,193697,0.0000,1.0
2020-11-02,42.91,43.58,42.04,43.0,43.0,224786,0.0000,1.0
2020-10-30,42.24,45.25,41.88,42.58,42.58,566609,0.0000,1.0
2020-10-29,39.92,42.07,39.77,41.71,41.71,359418,0.0000,1.0
2020-10-28,40.85,41.26,39.43,40.17,40.17,366063,0.0000,1.0
2020-10-27,41.88,42.57,41.3725,41.58,41.58,206060,0.0000,1.0
2020-10-26,43.0,43.07,41.15,41.86,41.86,303410,0.0000,1.0
2020-10-23,42.25,43.66,42.015,43.47,43.47,183182,0.0000,1.0
2020-10-22,42.11,42.81,41.82,42.15,42.15,218114,0.0000,1.0
2020-10-21,42.78,43.365,41.88,41.94,41.94,206980,0.0000,1.0
2020-10-20,44.1,44.14,42.73,42.9,42.9,251017,0.0000,1.0
2020-10-19,45.07,45.6,43.89,43.89,43.89,221962,0.0000,1.0
2020-10-16,45.25,45.74,44.75,44.99,44.99,174938,0.0000,1.0
2020-10-15,44.06,45.51,43.67,45.25,45.25,205936,0.0000,1.0
2020-10-14,44.81,45.3,44.4,44.56,44.56,334345,0.0000,1.0
2020-10-13,44.57,45.34,43.88,44.59,44.59,246624,0.0000,1.0
2020-10-12,45.23,45.3144,44.63,44.79,44.79,246312,0.0000,1.0
2020-10-09,45.52,45.69,44.765,45.13,45.13,210726,0.0000,1.0
2020-10-08,45.99,45.99,45.05,45.1,45.1,230708,0.0000,1.0
2020-10-07,44.97,45.81,44.9071,45.46,45.46,262505,0.0000,1.0
2020-10-06,45.26,45.82,43.8917,44.79,44.79,243908,0.0000,1.0
2020-10-05,45.09,45.84,44.65,44.77,44.77,210372,0.0000,1.0
2020-10-02,43.86,45.0,43.64,44.74,44.74,326676,0.0000,1.0
2020-10-01,45.97,46.03,44.78,44.96,44.96,399567,0.0000,1.0
2020-09-30,45.19,46.06,44.93,45.58,45.58,339536,0.0000,1.0
2020-09-29,44.85,45.59,44.46,44.88,44.88,260945,0.0000,1.0
2020-09-28,44.72,45.57,44.62,44.85,44.85,265728,0.0000,1.0
2020-09-25,42.2,44.58,42.2,44.03,44.03,367014,0.0000,1.0
2020-09-24,42.05,42.94,41.52,42.51,42.51,161855,0.0000,1.0
2020-09-23,43.32,43.52,42.01,42.06,42.06,252859,0.0000,1.0
2020-09-22,44.75,44.99,42.21,43.12,43.12,343179,0.0000,1.0
2020-09-21,43.74,44.68,42.66,44.62,44.62,569362,0.0000,1.0
2020-09-18,43.75,45.47,42.86,45.13,45.13,1221498,0.0000,1.0
2020-09-17,40.29,43.36,39.804,43.0,43.0,935847,0.0000,1.0
2020-09-16,40.89,41.62,40.59,40.71,40.71,310600,0.0000,1.0
2020-09-15,41.13,41.22,40.57,40.71,40.71,281319,0.0000,1.0
2020-09-14,39.77,41.1762,39.77,40.74,40.74,391529,0.0000,1.0
2020-09-11,37.82,40.26,37.56,39.51,39.51,755572,0.0000,1.0
2020-09-10,36.9,37.81,36.65,36.67,36.67,343839,0.0000,1.0
2020-09-09,36.08,37.21,36.05,36.96,36.96,424271,0.0000,1.0
2020-09-08,37.02,37.5,35.75,35.95,35.95,379433,0.0000,1.0
2020-09-04,38.87,39.22,37.25,37.62,37.62,448400,0.0000,1.0
2020-09-03,39.36,39.49,38.18,38.45,38.45,554448,0.0000,1.0
2020-09-02,39.41,39.5,38.245,39.25,39.25,378777,0.0000,1.0
2020-09-01,39.46,40.06,39.29,39.75,39.75,234071,0.0000,1.0
2020-08-31,39.78,40.325,39.51,39.58,39.58,326527,0.0000,1.0
2020-08-28,40.28,40.345,39.5,39.89,39.89,140700,0.0000,1.0
2020-08-27,39.65,40.51,39.52,40.07,40.07,197156,0.0000,1.0
2020-08-26,40.32,40.765,39.41,39.52,39.52,274027,0.0000,1.0
2020-08-25,40.0,40.56,39.66,40.44,40.44,203779,0.0000,1.0
2020-08-24,40.81,40.81,39.3001,39.95,39.95,385546,0.0000,1.0
2020-08-21,41.77,42.13,40.11,40.25,40.25,273550,0.0000,1.0
2020-08-20,42.04,42.79,41.81,41.92,41.92,155239,0.0000,1.0
2020-08-19,42.9,42.99,42.39,42.51,42.51,159099,0.0000,1.0
2020-08-18,42.98,43.1384,42.215,42.62,42.62,172067,0.0000,1.0
2020-08-17,43.01,43.35,41.73,42.89,42.89,482122,0.0000,1.0
2020-08-14,44.5,44.5,42.8975,43.09,43.09,250584,0.0000,1.0
2020-08-13,44.25,44.82,44.0,44.67,44.67,194787,0.0000,1.0
2020-08-12,43.22,44.115,43.12,44.07,44.07,316420,0.0000,1.0
2020-08-11,43.6,43.73,42.43,42.69,42.69,247693,0.0000,1.0
