timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-03,56.74,57.95,56.59,56.74,56.74,267886,0.0000,1.0
2020-12-02,56.91,57.17,56.09,56.71,56.71,254741,0.0000,1.0
2020-12-01,57.3,57.705,56.638,56.94,56.94,273491,0.0000,1.0
2020-11-30,57.63,58.27,56.48,56.88,56.88,274072,0.0000,1.0
2020-11-27,58.12,58.65,57.2933,57.56,57.56,108628,0.0000,1.0
2020-11-25,58.51,58.53,57.43,58.11,58.11,297251,0.0000,1.0
2020-11-24,57.54,58.89,57.36,58.64,58.64,309849,0.0000,1.0
2020-11-23,56.22,57.345,56.07,57.05,57.05,280672,0.0000,1.0
2020-11-20,57.1,57.59,55.89,55.89,55.89,456731,0.0000,1.0
2020-11-19,56.61,57.205,55.81,57.01,57.01,307186,0.1900,1.0
2020-11-18,56.83,57.9,56.83,56.96,56.7707972028,370161,0.0000,1.0
2020-11-17,55.87,56.96,55.75,56.67,56.4817604895,305476,0.0000,1.0
2020-11-16,56.88,57.17,56.07,56.53,56.3422255245,372808,0.0000,1.0
2020-11-13,55.76,56.72,55.76,56.37,56.182756993,279293,0.0000,1.0
2020-11-12,55.38,56.13,55.22,55.28,55.0963776224,421564,0.0000,1.0
2020-11-11,55.21,55.7,54.97,55.55,55.3654807692,396419,0.0000,1.0
2020-11-10,54.81,55.505,54.4,55.13,54.9468758741,446151,0.0000,1.0
2020-11-09,57.36,57.47,54.13,54.37,54.1894003497,476521,0.0000,1.0
2020-11-06,54.77,55.28,54.285,55.06,54.8771083916,400198,0.0000,1.0
2020-11-05,54.43,55.37,54.01,54.78,54.5980384615,484623,0.0000,1.0
2020-11-04,55.11,56.01,54.07,54.29,54.1096660839,374587,0.0000,1.0
2020-11-03,55.73,56.4228,54.895,55.43,55.2458793706,395327,0.0000,1.0
2020-11-02,54.74,56.18,53.02,54.93,54.7475402098,782624,0.0000,1.0
2020-10-30,54.14,55.23,54.01,55.01,54.8272744755,401381,0.0000,1.0
2020-10-29,53.48,54.65,53.07,54.18,54.0000314685,402257,0.0000,1.0
2020-10-28,55.3,55.8674,53.63,53.72,53.5415594406,456435,0.0000,1.0
2020-10-27,56.43,56.505,55.89,56.0,55.813986014,298929,0.0000,1.0
2020-10-26,56.99,57.08,55.86,56.63,56.4418933566,480065,0.0000,1.0
2020-10-23,57.62,58.13,57.455,57.64,57.4485384615,353288,0.0000,1.0
2020-10-22,55.68,57.46,55.68,57.27,57.0797674825,475821,0.0000,1.0
2020-10-21,56.09,56.353,55.5295,55.78,55.5947167832,506350,0.0000,1.0
2020-10-20,57.13,57.48,56.09,56.17,55.9834213287,273888,0.0000,1.0
2020-10-19,57.85,58.49,56.65,56.94,56.7508636364,203453,0.0000,1.0
2020-10-16,59.1,59.35,57.89,57.93,57.7375751748,274573,0.0000,1.0
2020-10-15,59.32,59.84,58.66,58.91,58.7143199301,583021,0.0000,1.0
2020-10-14,57.72,59.24,57.72,58.71,58.5149842657,506848,0.0000,1.0
2020-10-13,58.59,58.99,57.67,57.83,57.6379073427,390364,0.0000,1.0
2020-10-12,58.16,58.87,57.9,58.81,58.6146520979,394216,0.0000,1.0
2020-10-09,57.84,58.56,57.42,57.85,57.6578409091,446364,0.0000,1.0
2020-10-08,55.64,58.02,55.64,57.97,57.7774423077,420910,0.0000,1.0
2020-10-07,55.3,55.76,54.69,55.44,55.2558461538,690317,0.0000,1.0
2020-10-06,56.37,56.67,54.88,55.0,54.8173076923,646877,0.0000,1.0
2020-10-05,56.89,57.38,56.02,56.18,55.9933881119,364951,0.0000,1.0
2020-10-02,55.87,57.37,55.87,56.42,56.2325909091,486023,0.0000,1.0
2020-10-01,56.38,56.97,55.65,56.65,56.4618269231,431918,0.0000,1.0
2020-09-30,57.47,57.9,56.02,56.31,56.1229562937,355935,0.0000,1.0
2020-09-29,57.62,57.85,57.05,57.27,57.0797674825,211838,0.0000,1.0
2020-09-28,57.74,58.615,57.74,57.86,57.6678076923,187843,0.0000,1.0
2020-09-25,56.57,57.53,56.275,57.37,57.1794353147,356188,0.0000,1.0
2020-09-24,57.7,57.89,56.11,56.76,56.5714615385,436218,0.0000,1.0
2020-09-23,59.03,59.71,57.7,57.71,57.5183059441,680257,0.0000,1.0
