timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-03,115.72,118.575,115.3,116.68,116.68,1254977,0.0000,1.0
2020-12-02,114.95,116.79,113.84,116.43,116.43,1174166,0.0000,1.0
2020-12-01,116.88,117.07,114.59,115.65,115.65,2125341,0.0000,1.0
2020-11-30,117.22,117.34,114.66,116.3,116.3,2304137,0.0000,1.0
2020-11-27,113.67,116.89,113.67,116.58,116.58,927416,0.0000,1.0
2020-11-25,112.07,113.27,111.41,113.04,113.04,1238748,0.0000,1.0
2020-11-24,111.3,111.535,109.2,110.74,110.74,1617430,0.0000,1.0
2020-11-23,113.5,113.98,109.65,111.25,111.25,1081672,0.0000,1.0
2020-11-20,113.05,114.88,112.585,112.79,112.79,1418835,0.0000,1.0
2020-11-19,111.67,113.12,110.44,112.6,112.6,2076482,0.0000,1.0
2020-11-18,113.25,113.44,110.84,111.03,111.03,1467580,0.0000,1.0
2020-11-17,115.0,115.16,113.27,113.48,113.48,1207735,0.0000,1.0
2020-11-16,115.0,116.37,113.95,114.86,114.86,1159945,0.0000,1.0
2020-11-13,115.62,116.53,114.74,115.82,115.82,859584,0.0000,1.0
2020-11-12,117.14,118.14,114.04,114.56,114.56,1554381,0.0000,1.0
2020-11-11,114.63,117.8213,114.63,116.68,116.68,1431767,0.0000,1.0
2020-11-10,115.94,116.38,111.4,112.39,112.39,2097308,0.0000,1.0
2020-11-09,126.46,127.5,118.44,118.57,118.57,2405691,0.0000,1.0
2020-11-06,125.0371,126.27,122.25,125.5,125.5,1457637,0.0000,1.0
2020-11-05,123.79,124.68,122.3559,124.07,124.07,2016252,0.0000,1.0
2020-11-04,117.67,121.4,115.8,120.99,120.99,2250676,0.0000,1.0
2020-11-03,111.55,114.16,111.09,113.59,113.59,1477636,0.0000,1.0
2020-11-02,109.95,112.32,109.535,110.51,110.51,1645586,0.0000,1.0
2020-10-30,108.65,110.74,108.1333,109.37,109.37,2316611,0.0000,1.0
2020-10-29,107.64,111.51,107.58,110.21,110.21,1357004,0.0000,1.0
2020-10-28,108.05,109.39,105.93,107.64,107.64,2006342,0.0000,1.0
2020-10-27,110.96,112.2,109.68,109.84,109.84,908374,0.0000,1.0
2020-10-26,110.31,112.22,108.11,109.88,109.88,1008073,0.0000,1.0
2020-10-23,109.88,112.1,109.06,112.05,112.05,1066203,0.0000,1.0
2020-10-22,111.67,112.0599,108.75,109.32,109.32,1589765,0.0000,1.0
2020-10-21,112.61,113.96,111.21,111.23,111.23,1445095,0.0000,1.0
2020-10-20,115.35,116.0,112.0,112.61,112.61,2304646,0.0000,1.0
2020-10-19,115.51,117.095,112.91,113.56,113.56,1611778,0.0000,1.0
2020-10-16,116.87,117.5,114.56,115.69,115.69,1169020,0.0000,1.0
2020-10-15,115.0,116.55,114.0,115.96,115.96,1458241,0.0000,1.0
2020-10-14,117.0,118.22,115.8,116.97,116.97,1639885,0.0000,1.0
2020-10-13,116.46,117.87,115.29,116.77,116.77,1246562,0.0000,1.0
2020-10-12,114.26,116.38,113.0568,115.56,115.56,1445633,0.0000,1.0
2020-10-09,110.29,112.3,109.85,111.93,111.93,1018867,0.0000,1.0
2020-10-08,109.41,109.55,107.9359,109.32,109.32,661989,0.0000,1.0
2020-10-07,106.53,108.99,105.79,108.44,108.44,1139276,0.0000,1.0
2020-10-06,107.0,108.0,105.19,105.52,105.52,1137215,0.0000,1.0
2020-10-05,106.11,107.65,106.04,107.46,107.46,962731,0.0000,1.0
2020-10-02,106.38,107.47,104.48,105.32,105.32,1332139,0.0000,1.0
2020-10-01,107.85,109.31,107.59,108.63,108.63,1837452,0.0000,1.0
2020-09-30,105.35,107.9501,105.3,106.63,106.63,1813892,0.0000,1.0
2020-09-29,105.82,106.94,105.65,105.78,105.78,1187916,0.0000,1.0
2020-09-28,105.05,105.325,103.83,105.25,105.25,1427430,0.0000,1.0
2020-09-25,102.0,104.13,100.88,103.72,103.72,2412480,0.0000,1.0
2020-09-24,98.74,103.1,98.47,102.12,102.12,1689892,0.0000,1.0
2020-09-23,102.31,102.83,99.23,99.72,99.72,1063109,0.0000,1.0
2020-09-22,103.39,103.39,100.52,102.83,102.83,1422768,0.0000,1.0
2020-09-21,98.75,102.13,97.45,102.1,102.1,2093796,0.0000,1.0
2020-09-18,101.86,101.96,98.64,99.76,99.76,3428164,0.0000,1.0
2020-09-17,99.62,101.49,99.0,101.15,101.15,2491361,0.0000,1.0
2020-09-16,105.77,106.21,102.44,102.55,102.55,1066307,0.0000,1.0
2020-09-15,104.45,105.88,104.44,105.23,105.23,1069556,0.0000,1.0
2020-09-14,102.88,104.035,102.035,103.23,103.23,1451480,0.0000,1.0
2020-09-11,102.91,103.81,100.27,101.51,101.51,1167793,0.0000,1.0
2020-09-10,104.52,105.81,101.54,102.22,102.22,1279196,0.0000,1.0
2020-09-09,102.39,105.11,101.2,104.34,104.34,1494976,0.0000,1.0
2020-09-08,100.0,103.71,98.1572,100.44,100.44,2166563,0.0000,1.0
2020-09-04,108.16,108.53,102.0,105.88,105.88,2248580,0.0000,1.0
2020-09-03,114.82,115.3,107.105,108.06,108.06,2558370,0.0000,1.0
2020-09-02,114.47,117.59,113.59,117.09,117.09,1792856,0.0000,1.0
2020-09-01,111.1788,114.03,110.89,113.98,113.98,1544169,0.0000,1.0
2020-08-31,110.51,112.0,110.215,110.91,110.91,1603110,0.0000,1.0
2020-08-28,110.5,111.36,109.87,110.86,110.86,1038172,0.0000,1.0
2020-08-27,113.26,113.47,109.08,109.36,109.36,1999832,0.0000,1.0
2020-08-26,111.82,113.97,111.56,112.67,112.67,1221894,0.0000,1.0
2020-08-25,111.37,111.9837,110.723,111.26,111.26,1300373,0.0000,1.0
2020-08-24,112.0,113.04,110.59,111.28,111.28,1094690,0.0000,1.0
2020-08-21,110.735,111.2,109.31,110.57,110.57,1438342,0.0000,1.0
2020-08-20,108.0,111.63,107.97,111.26,111.26,1288580,0.0000,1.0
2020-08-19,109.23,109.585,107.4,108.53,108.53,1195435,0.0000,1.0
2020-08-18,109.57,110.46,108.42,109.15,109.15,995266,0.0000,1.0
2020-08-17,108.43,109.905,108.11,109.52,109.52,1070229,0.0000,1.0
2020-08-14,108.92,109.65,107.53,108.0,108.0,737189,0.0000,1.0
2020-08-13,107.63,109.695,107.27,108.66,108.66,1044292,0.0000,1.0
2020-08-12,105.37,108.14,104.8,107.28,107.28,1290715,0.0000,1.0
2020-08-11,106.55,107.0,104.68,105.18,105.18,1474608,0.0000,1.0
2020-08-10,108.3465,108.3465,105.6401,107.19,107.19,1969268,0.0000,1.0
2020-08-07,110.41,110.8,107.38,108.53,108.53,1336480,0.0000,1.0
2020-08-06,109.26,110.695,108.655,110.52,110.52,1120240,0.0000,1.0
2020-08-05,109.81,110.93,109.17,109.65,109.65,1177347,0.0000,1.0
2020-08-04,111.53,112.0,108.45,109.14,109.14,2132068,0.0000,1.0
2020-08-03,109.75,112.32,109.7,111.77,111.77,1808496,0.0000,1.0
2020-07-31,108.29,109.26,106.08,109.25,109.25,1757403,0.0000,1.0
2020-07-30,104.78,108.04,104.45,107.65,107.65,1427362,0.0000,1.0
2020-07-29,104.43,107.0,104.43,105.97,105.97,2254128,0.0000,1.0
2020-07-28,105.44,105.985,103.885,104.05,104.05,1122958,0.0000,1.0
2020-07-27,103.62,105.41,103.32,105.27,105.27,1442456,0.0000,1.0
2020-07-24,101.99,103.36,100.63,102.59,102.59,2006777,0.0000,1.0
2020-07-23,103.42,105.89,102.35,102.94,102.94,1666060,0.0000,1.0
2020-07-22,104.28,105.14,102.8,103.67,103.67,1435455,0.0000,1.0
2020-07-21,106.54,106.54,102.64,103.58,103.58,2295057,0.0000,1.0
2020-07-20,100.67,104.34,99.91,103.7,103.7,2199669,0.0000,1.0
2020-07-17,98.68,100.68,98.25,100.23,100.23,2125100,0.0000,1.0
2020-07-16,98.65,99.1,97.27,98.68,98.68,1179800,0.0000,1.0
2020-07-15,99.7,100.0,97.92,99.11,99.11,1710700,0.0000,1.0
