timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-03,92.11,93.53,92.11,92.53,92.53,765087,0.0000,1.0
2020-12-02,93.56,93.815,91.25,92.3,92.3,951562,0.0000,1.0
2020-12-01,94.02,95.4,93.56,93.83,93.83,1384386,0.0000,1.0
2020-11-30,93.04,94.04,92.63,93.97,93.97,2328725,0.0000,1.0
2020-11-27,92.84,93.25,91.8,92.72,92.72,682582,0.0000,1.0
2020-11-25,94.01,94.205,92.79,93.03,93.03,1021272,0.0000,1.0
2020-11-24,92.87,95.06,92.17,94.42,94.42,1145959,0.0000,1.0
2020-11-23,92.4,93.52,91.185,92.17,92.17,1211263,0.0000,1.0
2020-11-20,94.69,94.86,91.97,92.59,92.59,1271990,0.0000,1.0
2020-11-19,92.4,94.02,91.37,93.77,93.77,1207584,0.0000,1.0
2020-11-18,93.22,93.97,92.24,92.88,92.88,2039504,0.0000,1.0
2020-11-17,92.81,93.96,91.3,93.55,93.55,881496,0.0000,1.0
2020-11-16,93.15,93.9899,91.67,92.92,92.92,968175,0.0000,1.0
2020-11-13,91.19,92.62,91.18,91.97,91.97,836654,0.0000,1.0
2020-11-12,93.46,93.67,89.81,90.54,90.54,1359233,0.0000,1.0
2020-11-11,93.8,94.545,91.99,93.33,93.33,1170394,0.0000,1.0
2020-11-10,93.45,94.72,92.5,93.89,93.89,1404108,0.0000,1.0
2020-11-09,95.23,95.99,91.4845,93.92,93.92,2417473,0.0000,1.0
2020-11-06,88.84,90.97,88.03,90.62,90.62,1362120,0.0000,1.0
2020-11-05,89.68,89.93,87.97,88.8,88.8,1399196,0.0000,1.0
2020-11-04,89.13,90.76,88.01,88.11,88.11,1173363,0.0000,1.0
2020-11-03,88.5,89.6,87.53,89.22,89.22,1352306,0.0000,1.0
2020-11-02,89.97,90.04,86.78,87.34,87.34,1800183,0.0000,1.0
2020-10-30,89.62,90.0,86.8,88.43,88.43,2411403,0.0000,1.0
2020-10-29,88.01,91.37,88.0,90.08,90.08,2031656,0.0000,1.0
2020-10-28,94.43,95.03,88.35,88.58,88.58,4192738,0.0000,1.0
2020-10-27,99.41,101.6075,99.255,100.03,100.03,1626531,0.0000,1.0
2020-10-26,100.32,100.43,98.09,99.59,99.59,1543958,0.0000,1.0
2020-10-23,99.8,100.74,99.17,100.54,100.54,945222,0.0000,1.0
2020-10-22,100.62,101.035,99.0,99.58,99.58,1144698,0.0000,1.0
2020-10-21,100.44,102.47,99.97,100.77,100.77,1251849,0.0000,1.0
2020-10-20,100.67,102.1,99.97,100.51,100.51,1019819,0.0000,1.0
2020-10-19,100.26,101.43,99.49,100.0,100.0,1357216,0.0000,1.0
2020-10-16,103.9,104.32,100.04,100.23,100.23,1926421,0.0000,1.0
2020-10-15,104.21,105.21,103.54,105.12,105.12,880050,0.0000,1.0
2020-10-14,105.14,105.53,104.19,104.82,104.82,978009,0.0000,1.0
