timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-03,200.48,203.37,199.78,201.23,201.23,1943705,0.0000,1.0
2020-12-02,202.79,204.0,199.53,201.71,201.71,1447734,0.0000,1.0
2020-12-01,202.37,203.3,200.5974,203.21,203.21,1469822,0.0000,1.0
2020-11-30,202.32,203.35,199.97,202.96,202.96,2213971,0.0000,1.0
2020-11-27,201.4,203.35,201.25,203.09,203.09,699233,0.0000,1.0
2020-11-25,201.63,202.57,200.0,200.75,200.75,1298710,0.0000,1.0
2020-11-24,202.31,203.14,199.43,199.54,199.54,1592737,0.0000,1.0
2020-11-23,202.12,203.23,201.09,202.31,202.31,1563525,0.0000,1.0
2020-11-20,202.84,204.79,202.72,203.05,203.05,1537847,0.0000,1.0
2020-11-19,203.69,206.6476,201.0,202.47,202.47,1558938,0.0000,1.0
2020-11-18,208.77,210.25,204.9,204.98,204.98,1910521,0.0000,1.0
2020-11-17,207.0,209.485,205.66,209.1,209.1,1433332,0.0000,1.0
2020-11-16,203.0,207.88,202.0019,207.67,207.67,1587974,0.0000,1.0
2020-11-13,207.9,208.8873,206.255,207.38,207.38,1545914,0.0000,1.0
2020-11-12,204.62,207.62,203.0116,207.53,207.53,1822888,0.0000,1.0
2020-11-11,199.27,203.5,197.665,202.59,202.59,1810452,0.0000,1.0
2020-11-10,197.0,202.195,192.9,198.12,198.12,2428258,0.0000,1.0
2020-11-09,203.44,209.0,193.26,194.91,194.91,4941946,0.0000,1.0
2020-11-06,212.46,218.14,212.46,218.08,218.08,1078346,0.0000,1.0
2020-11-05,215.52,216.18,212.98,212.98,212.98,1080554,0.0000,1.0
2020-11-04,214.0,218.185,212.7,212.94,212.94,1554576,0.0000,1.0
2020-11-03,215.99,217.5,210.69,212.25,212.25,1904763,1.1100,1.0
2020-11-02,215.0,221.84,212.24,216.03,214.906109393,4066971,0.0000,1.0
2020-10-30,207.59,211.54,204.88,207.25,206.17178712,2252024,0.0000,1.0
2020-10-29,210.33,212.22,207.55,208.73,207.644087458,1226869,0.0000,1.0
2020-10-28,213.29,215.24,209.54,209.88,208.788104612,1119009,0.0000,1.0
2020-10-27,214.67,217.63,214.02,214.18,213.065733971,1323594,0.0000,1.0
2020-10-26,210.81,214.36,209.72,212.73,211.623277559,1114543,0.0000,1.0
2020-10-23,209.4,211.59,209.17,211.14,210.041549494,791757,0.0000,1.0
2020-10-22,209.07,211.49,206.05,209.76,208.668728909,1272186,0.0000,1.0
