timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-03,227.51,228.375,219.3,220.34,220.34,1712296,0.0000,1.0
2020-12-02,229.38,231.0,227.08,227.18,227.18,1067891,0.0000,1.0
2020-12-01,234.65,235.85,229.75,230.36,230.36,1229336,0.0000,1.0
2020-11-30,228.72,232.2,226.25,231.17,231.17,2607973,0.0000,1.0
2020-11-27,231.5,232.2,228.54,229.03,229.03,538341,0.0000,1.0
2020-11-25,235.16,235.16,229.78,230.39,230.39,896418,0.0000,1.0
2020-11-24,236.54,237.455,233.41,234.66,234.66,1368130,0.0000,1.0
2020-11-23,232.86,236.41,232.405,235.22,235.22,1091537,0.0000,1.0
2020-11-20,232.05,232.95,228.596,230.65,230.65,1087369,0.0000,1.0
2020-11-19,229.78,233.71,227.65,233.14,233.14,872594,1.3500,1.0
2020-11-18,231.68,235.78,231.25,233.46,232.11592989,987755,0.0000,1.0
2020-11-17,230.93,232.0,227.35,231.08,229.749631967,952446,0.0000,1.0
2020-11-16,240.0,240.0,228.58,231.86,230.525141371,1313965,0.0000,1.0
2020-11-13,234.79,236.87,233.82,236.55,235.188140219,859213,0.0000,1.0
2020-11-12,233.71,235.02,230.23,233.14,231.797772186,974211,0.0000,1.0
2020-11-11,234.89,235.65,230.5,234.9,233.547639558,973335,0.0000,1.0
2020-11-10,229.29,235.34,228.55,233.86,232.51362702,909560,0.0000,1.0
2020-11-09,240.0,244.67,228.95,228.97,227.651779607,1435533,0.0000,1.0
2020-11-06,230.15,232.74,228.57,229.05,227.731319033,724395,0.0000,1.0
2020-11-05,226.16,232.595,225.68,229.57,228.248325302,757706,0.0000,1.0
2020-11-04,229.86,230.76,221.13,222.8,221.517301377,1154788,0.0000,1.0
2020-11-03,230.4,233.02,229.13,232.03,230.694162651,1077898,0.0000,1.0
2020-11-02,223.07,228.1858,222.4,227.68,226.369206363,1285481,0.0000,1.0
2020-10-30,216.05,219.98,214.3201,219.89,218.624054757,1092360,0.0000,1.0
2020-10-29,214.03,219.49,212.8,217.44,216.188159836,1057186,0.0000,1.0
2020-10-28,214.8,218.91,213.2,213.59,212.360324961,1327858,0.0000,1.0
2020-10-27,230.92,231.35,219.61,219.78,218.514688046,1755725,0.0000,1.0
2020-10-26,223.18,223.8,218.06,220.68,219.409506589,907919,0.0000,1.0
2020-10-23,224.77,227.51,223.975,226.28,224.977266408,1041333,0.0000,1.0
2020-10-22,222.75,225.76,222.48,223.59,222.302753209,862480,0.0000,1.0
2020-10-21,223.16,226.625,221.94,222.25,220.970467824,835282,0.0000,1.0
2020-10-20,222.87,224.78,221.52,222.27,220.99035268,850368,0.0000,1.0
2020-10-19,223.35,224.87,220.35,221.15,219.876800716,679723,0.0000,1.0
2020-10-16,224.39,227.15,222.1,222.8,221.517301377,1227869,0.0000,1.0
2020-10-15,219.26,223.42,218.31,222.45,221.169316389,737249,0.0000,1.0
2020-10-14,222.0,224.31,220.81,221.77,220.493231268,851875,0.0000,1.0
2020-10-13,220.95,221.75,217.21,220.45,219.180830739,621434,0.0000,1.0
2020-10-12,224.46,224.5028,220.89,221.75,220.473346411,715856,0.0000,1.0
2020-10-09,222.9,225.84,221.36,223.32,222.034307646,931311,0.0000,1.0
2020-10-08,222.09,222.5685,218.51,221.01,219.737606721,752303,0.0000,1.0
2020-10-07,219.07,223.6,218.76,221.52,220.244670562,723058,0.0000,1.0
2020-10-06,218.33,220.815,215.65,216.33,215.084550301,1143005,0.0000,1.0
2020-10-05,213.22,219.8,212.25,217.85,216.595799394,1258304,0.0000,1.0
2020-10-02,203.67,212.61,203.51,210.34,209.12903578,1003720,0.0000,1.0
2020-10-01,212.89,213.09,205.145,207.04,205.848034458,1095273,0.0000,1.0
2020-09-30,213.86,217.26,209.49,211.16,209.944314896,1349323,0.0000,1.0
2020-09-29,213.48,214.185,210.61,212.9,211.674297411,740559,0.0000,1.0
2020-09-28,211.0,214.4,210.56,212.79,211.564930701,874917,0.0000,1.0
