timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-03,271.0,281.05,269.82,280.06,280.06,511394,0.0000,1.0
2020-12-02,264.2,269.35,260.9,269.19,269.19,356831,0.0000,1.0
2020-12-01,258.5,265.77,256.26,264.45,264.45,536601,0.0000,1.0
2020-11-30,259.45,260.29,252.85,254.59,254.59,360282,0.0000,1.0
2020-11-27,263.89,266.06,257.51,260.17,260.17,142276,0.0000,1.0
2020-11-25,260.3,267.42,256.61,264.49,264.49,259722,0.0000,1.0
2020-11-24,260.36,263.7978,257.0,259.49,259.49,275425,0.0000,1.0
2020-11-23,249.68,258.8017,247.74,257.42,257.42,384155,0.0000,1.0
2020-11-20,247.65,248.76,241.24,247.21,247.21,359642,0.0000,1.0
2020-11-19,252.26,253.25,245.68,248.7,248.7,314148,0.0000,1.0
2020-11-18,254.42,258.23,251.017,251.92,251.92,278632,0.0000,1.0
2020-11-17,250.53,256.54,247.62,254.32,254.32,285605,0.0000,1.0
2020-11-16,253.0,253.43,242.43,249.86,249.86,617191,0.0000,1.0
2020-11-13,251.21,254.75,248.31,251.1,251.1,356834,0.0000,1.0
2020-11-12,253.42,255.4519,243.96,248.25,248.25,466998,0.0000,1.0
2020-11-11,253.15,260.9,250.37,253.62,253.62,323252,0.0000,1.0
2020-11-10,255.69,257.54,240.86,251.53,251.53,676083,0.0000,1.0
2020-11-09,282.55,285.28,254.01,254.76,254.76,656291,0.0000,1.0
2020-11-06,280.2,280.2,269.46,270.29,270.29,485285,0.0000,1.0
2020-11-05,262.86,280.8,262.505,278.57,278.57,624403,0.0000,1.0
2020-11-04,250.79,261.26,250.16,261.06,261.06,328866,0.0000,1.0
2020-11-03,258.83,258.83,248.65,251.59,251.59,407496,0.0000,1.0
2020-11-02,253.55,256.67,251.03,254.9,254.9,380211,0.0000,1.0
2020-10-30,261.85,262.19,246.82,253.37,253.37,645556,0.0000,1.0
2020-10-29,249.37,258.91,248.69,257.77,257.77,461368,0.0000,1.0
2020-10-28,256.0,258.3875,246.87,250.21,250.21,362870,0.0000,1.0
2020-10-27,261.91,263.91,257.71,262.03,262.03,449219,0.0000,1.0
2020-10-26,255.0,261.98,253.09,261.8,261.8,348526,0.0000,1.0
2020-10-23,247.94,256.49,244.28,255.21,255.21,449025,0.0000,1.0
2020-10-22,251.23,251.23,244.0,247.72,247.72,335989,0.0000,1.0
2020-10-21,251.51,252.49,245.44,247.64,247.64,300567,0.0000,1.0
2020-10-20,253.82,256.28,249.36,249.52,249.52,339190,0.0000,1.0
2020-10-19,263.8,267.1,247.01,253.0,253.0,743682,0.0000,1.0
2020-10-16,261.88,266.68,259.8622,262.32,262.32,584193,0.0000,1.0
2020-10-15,254.01,262.85,251.35,262.1,262.1,293992,0.0000,1.0
2020-10-14,254.12,257.54,253.9388,256.1,256.1,336682,0.0000,1.0
2020-10-13,250.49,254.13,248.0,253.63,253.63,406764,0.0000,1.0
2020-10-12,256.45,257.8789,251.98,253.34,253.34,345203,0.0000,1.0
2020-10-09,247.8,251.52,245.29,251.21,251.21,325170,0.0000,1.0
2020-10-08,243.33,247.0307,240.6901,245.26,245.26,300572,0.0000,1.0
2020-10-07,239.05,242.41,237.87,240.34,240.34,306053,0.0000,1.0
2020-10-06,240.11,240.32,233.84,234.97,234.97,345641,0.0000,1.0
2020-10-05,238.19,239.59,232.81,238.5,238.5,237337,0.0000,1.0
2020-10-02,229.76,238.47,229.76,237.38,237.38,307535,0.0000,1.0
2020-10-01,222.65,238.0,221.94,235.6,235.6,802881,0.0000,1.0
2020-09-30,218.58,221.63,217.54,220.01,220.01,332218,0.0000,1.0
2020-09-29,218.28,219.635,214.2,217.91,217.91,239851,0.0000,1.0
2020-09-28,217.23,221.77,217.23,219.27,219.27,235984,0.0000,1.0
2020-09-25,216.02,218.0399,213.11,215.21,215.21,253985,0.0000,1.0
2020-09-24,214.31,219.8,209.9,217.65,217.65,262628,0.0000,1.0
2020-09-23,214.72,223.24,213.71,214.51,214.51,609454,0.0000,1.0
2020-09-22,208.16,214.0,206.91,213.67,213.67,288849,0.0000,1.0
2020-09-21,204.64,207.22,202.17,207.05,207.05,291654,0.0000,1.0
2020-09-18,215.49,215.49,205.54,208.91,208.91,464815,0.0000,1.0
2020-09-17,215.39,218.51,212.14,213.33,213.33,374043,0.0000,1.0
2020-09-16,216.84,222.82,215.4034,219.39,219.39,462057,0.0000,1.0
2020-09-15,209.37,214.66,208.5,214.43,214.43,402498,0.0000,1.0
2020-09-14,205.08,208.965,204.455,208.19,208.19,236784,0.0000,1.0
2020-09-11,201.24,203.96,198.6,203.21,203.21,384284,0.0000,1.0
2020-09-10,204.44,205.775,197.7,198.29,198.29,317025,0.0000,1.0
2020-09-09,201.79,204.03,199.07,202.97,202.97,266056,0.0000,1.0
2020-09-08,194.21,203.88,192.58,199.89,199.89,343054,0.0000,1.0
2020-09-04,200.3,201.315,193.83,197.08,197.08,308850,0.0000,1.0
2020-09-03,207.52,207.52,196.755,198.24,198.24,300854,0.0000,1.0
2020-09-02,212.49,212.5,205.68,207.63,207.63,251128,0.0000,1.0
2020-09-01,203.94,210.075,202.28,209.97,209.97,273460,0.0000,1.0
2020-08-31,210.5,210.5,203.42,203.87,203.87,310588,0.0000,1.0
2020-08-28,213.07,213.07,207.47,210.39,210.39,179333,0.0000,1.0
2020-08-27,213.25,215.0915,210.3,210.82,210.82,182928,0.0000,1.0
2020-08-26,209.74,212.22,208.98,211.59,211.59,240792,0.0000,1.0
2020-08-25,210.21,211.32,206.091,209.74,209.74,429916,0.0000,1.0
2020-08-24,209.86,212.215,207.33,209.28,209.28,286828,0.0000,1.0
2020-08-21,208.06,210.03,205.7,209.39,209.39,150454,0.0000,1.0
2020-08-20,205.73,211.2,203.88,207.76,207.76,224182,0.0000,1.0
2020-08-19,211.08,211.94,207.345,207.7,207.7,248135,0.0000,1.0
2020-08-18,212.75,213.42,208.86,210.83,210.83,361211,0.0000,1.0
2020-08-17,217.39,217.39,210.38,212.16,212.16,408088,0.0000,1.0
2020-08-14,216.71,218.775,215.37,215.71,215.71,237985,0.0000,1.0
2020-08-13,219.24,219.98,215.88,217.9,217.9,195980,0.0000,1.0
2020-08-12,224.85,225.32,220.79,220.87,220.87,389007,0.0000,1.0
2020-08-11,220.78,225.7,220.12,223.32,223.32,407488,0.0000,1.0
2020-08-10,211.99,221.1943,211.47,218.5,218.5,439870,0.0000,1.0
2020-08-07,206.0,210.63,204.01,210.56,210.56,217162,0.0000,1.0
2020-08-06,210.49,210.49,204.01,206.51,206.51,271825,0.0000,1.0
2020-08-05,206.97,214.325,205.61,211.46,211.46,281456,0.0000,1.0
2020-08-04,205.31,207.09,202.84,205.46,205.46,589829,0.0000,1.0
2020-08-03,210.79,210.79,204.4501,206.62,206.62,395326,0.0000,1.0
2020-07-31,198.23,215.1,196.21,209.25,209.25,593111,0.0000,1.0
2020-07-30,215.28,219.81,212.77,214.15,214.15,454656,0.0000,1.0
2020-07-29,212.19,220.36,211.46,218.83,218.83,405680,0.0000,1.0
2020-07-28,210.03,213.81,208.85,210.62,210.62,350779,0.0000,1.0
2020-07-27,206.12,213.5,205.93,211.12,211.12,469722,0.0000,1.0
2020-07-24,206.73,209.12,204.61,205.78,205.78,288331,0.0000,1.0
2020-07-23,204.56,210.395,204.4,206.45,206.45,409712,0.0000,1.0
2020-07-22,204.97,208.8608,202.94,206.44,206.44,461170,0.0000,1.0
2020-07-21,198.39,202.93,197.39,201.3,201.3,316206,0.0000,1.0
2020-07-20,200.09,201.46,194.31,196.27,196.27,268596,0.0000,1.0
2020-07-17,202.72,203.99,198.67,201.35,201.35,238900,0.0000,1.0
2020-07-16,202.0,203.49,200.16,202.68,202.68,327000,0.0000,1.0
2020-07-15,204.19,207.85,199.36,201.95,201.95,432400,0.0000,1.0
