timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-03,701.73,701.73,689.775,692.65,692.65,627993,0.0000,1.0
2020-12-02,710.0,712.93,688.14,690.62,690.62,552169,0.0000,1.0
2020-12-01,706.59,714.86,700.03,712.58,712.58,720905,0.0000,1.0
2020-11-30,701.6,706.73,695.44,697.79,697.79,1021745,0.0000,1.0
2020-11-27,701.04,705.695,691.625,700.52,700.52,469679,0.0000,1.0
2020-11-25,698.99,705.345,686.765,693.54,693.54,880685,0.0000,1.0
2020-11-24,714.95,715.85,690.06,692.38,692.38,1209912,0.0000,1.0
2020-11-23,727.2,733.0,709.38,711.46,711.46,518851,0.0000,1.0
2020-11-20,732.97,742.32,725.55,728.12,728.12,538347,0.0000,1.0
2020-11-19,737.73,737.73,727.75,730.59,730.59,444534,0.0000,1.0
2020-11-18,747.89,758.1,733.37,734.32,734.32,658477,0.0000,1.0
2020-11-17,750.61,755.0,743.82,751.18,751.18,512235,2.6600,1.0
2020-11-16,762.57,764.48,736.2,755.09,752.42558925,404951,0.0000,1.0
2020-11-13,764.6,766.2999,755.31,760.81,758.125405656,314339,0.0000,1.0
2020-11-12,767.12,767.215,754.33,760.31,757.627169956,390296,0.0000,1.0
2020-11-11,733.72,766.05,731.0,760.85,758.165264512,554783,0.0000,1.0
2020-11-10,743.13,743.87,716.03,726.77,724.205519208,770194,0.0000,1.0
2020-11-09,800.41,808.02,740.54,743.21,740.58750902,852359,0.0000,1.0
2020-11-06,790.72,797.27,781.25,794.39,791.586915261,471478,0.0000,1.0
2020-11-05,790.0,795.34,779.75,781.05,778.293986788,335235,0.0000,1.0
2020-11-04,759.35,787.0,758.72,777.29,774.547254325,363786,0.0000,1.0
2020-11-03,742.6,755.33,738.37,752.28,749.625504616,313760,0.0000,1.0
2020-11-02,740.25,748.0,729.8434,738.32,735.714763876,426500,0.0000,1.0
2020-10-30,731.46,739.71,719.86,731.24,728.659746365,413390,0.0000,1.0
2020-10-29,767.74,767.74,737.795,740.68,738.066436379,574099,0.0000,1.0
