timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-03,83.9,84.78,83.38,83.65,83.65,1547548,0.0000,1.0
2020-12-02,83.67,84.81,83.17,84.47,84.47,1500478,0.0000,1.0
2020-12-01,84.56,84.93,83.565,83.88,83.88,2528945,0.0000,1.0
2020-11-30,84.98,84.98,83.12,83.89,83.89,3948429,0.0000,1.0
2020-11-27,84.87,85.355,83.83,85.26,85.26,919782,0.0000,1.0
2020-11-25,85.27,85.535,83.83,84.21,84.21,1712134,0.0000,1.0
2020-11-24,85.5,86.15,85.01,85.61,85.61,1793724,0.0000,1.0
2020-11-23,84.95,85.81,83.86,84.7,84.7,1596587,0.0000,1.0
2020-11-20,85.03,85.39,84.36,84.53,84.53,2794802,0.0000,1.0
2020-11-19,84.45,85.5447,84.07,85.24,85.24,2178723,0.0000,1.0
2020-11-18,84.85,87.235,84.6,85.24,85.24,5012829,0.0000,1.0
2020-11-17,85.25,88.0,83.89,85.18,85.18,4972666,0.0000,1.0
2020-11-16,82.9,83.2,81.13,82.17,82.17,1841002,0.0000,1.0
2020-11-13,80.34,82.28,79.89,81.78,81.78,2342127,0.0000,1.0
2020-11-12,79.38,80.6,78.34,80.35,80.35,2437784,0.0000,1.0
2020-11-11,81.76,81.76,79.21,80.03,80.03,2468375,0.0000,1.0
2020-11-10,83.7,83.96,81.0,81.21,81.21,3365229,0.0000,1.0
2020-11-09,82.0,85.83,81.595,84.0,84.0,4185306,0.0000,1.0
2020-11-06,77.69,78.51,77.16,78.03,78.03,2585487,0.0000,1.0
2020-11-05,76.96,78.44,76.14,77.55,77.55,2721757,0.0000,1.0
2020-11-04,76.24,77.49,75.13,75.97,75.97,3241409,0.0000,1.0
2020-11-03,73.5,74.8,73.1,74.21,74.21,2518466,0.0000,1.0
2020-11-02,73.11,73.84,72.14,72.6,72.6,2614842,0.0000,1.0
2020-10-30,72.48,72.81,70.92,71.69,71.69,3131454,0.0000,1.0
2020-10-29,73.42,73.99,72.1,72.91,72.91,2253711,0.0000,1.0
2020-10-28,75.01,75.4542,73.18,73.26,73.26,3192332,0.0000,1.0
2020-10-27,78.35,78.65,76.39,76.5,76.5,2661752,0.0000,1.0
2020-10-26,79.23,79.52,77.32,78.08,78.08,2396946,0.0000,1.0
2020-10-23,79.86,80.52,79.07,80.41,80.41,2500571,0.0000,1.0
2020-10-22,79.74,81.0,78.02,79.38,79.38,6111068,0.0000,1.0
2020-10-21,84.44,84.84,82.58,83.61,83.61,2149780,0.0000,1.0
2020-10-20,84.49,85.66,83.69,84.43,84.43,1415669,0.0000,1.0
2020-10-19,85.5,86.73,83.23,84.0,84.0,1832939,0.0000,1.0
2020-10-16,85.87,86.98,85.2,85.33,85.33,1831137,0.0000,1.0
2020-10-15,83.83,85.87,83.49,85.32,85.32,2006295,0.0000,1.0
2020-10-14,83.92,86.25,83.77,85.17,85.17,1805162,0.0000,1.0
2020-10-13,84.04,85.01,83.2,83.94,83.94,1830861,0.0000,1.0
2020-10-12,84.44,85.47,83.18,85.02,85.02,2090271,0.0000,1.0
2020-10-09,82.6,83.95,81.81,83.9,83.9,2229688,0.0000,1.0
2020-10-08,82.0,82.25,80.93,81.65,81.65,1804960,0.0000,1.0
2020-10-07,79.58,81.72,79.4526,81.5,81.5,1971232,0.0000,1.0
2020-10-06,80.28,80.43,78.474,78.59,78.59,1488363,0.0000,1.0
2020-10-05,79.12,80.5,79.04,80.15,80.15,1662214,0.0000,1.0
2020-10-02,77.95,79.92,77.67,78.81,78.81,1541585,0.0000,1.0
2020-10-01,80.38,80.7399,78.44,78.98,78.98,1994144,0.0000,1.0
2020-09-30,78.33,80.99,78.32,79.82,79.82,3248371,0.0000,1.0
2020-09-29,78.34,80.0321,77.9702,78.31,78.31,2640704,0.0000,1.0
2020-09-28,78.35,78.72,77.49,77.71,77.71,2805633,0.0000,1.0
2020-09-25,74.18,77.49,74.065,77.45,77.45,2869200,0.0000,1.0
2020-09-24,75.74,76.084,74.25,74.67,74.67,2575739,0.0000,1.0
2020-09-23,78.75,78.76,75.67,76.05,76.05,4254119,0.0000,1.0
2020-09-22,81.25,81.45,77.65,78.68,78.68,4061956,0.0000,1.0
2020-09-21,81.61,82.2,79.7,81.45,81.45,2164329,0.0000,1.0
2020-09-18,83.58,84.86,82.31,83.2,83.2,3592853,0.0000,1.0
2020-09-17,83.06,83.93,82.44,83.69,83.69,2463350,0.0000,1.0
2020-09-16,83.7,84.6868,83.535,83.87,83.87,1992460,0.0000,1.0
2020-09-15,83.48,84.28,82.94,83.3,83.3,2378691,0.0000,1.0
2020-09-14,82.08,83.5,81.93,82.95,82.95,1702443,0.0000,1.0
2020-09-11,83.0,83.05,80.98,81.78,81.78,1721599,0.0000,1.0
2020-09-10,85.14,85.14,82.43,82.64,82.64,2276472,0.0000,1.0
2020-09-09,83.31,85.71,83.07,84.84,84.84,2160919,0.0000,1.0
2020-09-08,82.75,83.54,82.025,82.16,82.16,2892988,0.0000,1.0
2020-09-04,85.77,86.0832,82.645,83.71,83.71,2786936,0.0000,1.0
2020-09-03,87.53,87.595,84.945,85.69,85.69,4146118,0.0000,1.0
2020-09-02,86.25,87.79,85.96,87.44,87.44,3037802,0.0000,1.0
2020-09-01,85.09,86.01,84.51,85.91,85.91,3611893,0.0000,1.0
2020-08-31,84.38,86.41,83.96,85.84,85.84,4171882,0.0000,1.0
2020-08-28,83.87,84.6,83.16,84.33,84.33,2995499,0.0000,1.0
2020-08-27,81.52,84.31,81.19,83.7,83.7,3596694,0.0000,1.0
2020-08-26,80.35,81.71,80.18,81.52,81.52,2714102,0.0000,1.0
2020-08-25,79.54,80.99,79.21,80.35,80.35,2027025,0.0000,1.0
2020-08-24,79.0,79.86,78.15,78.71,78.71,2271111,0.0000,1.0
2020-08-21,78.95,78.95,78.09,78.71,78.71,1699836,0.0000,1.0
2020-08-20,78.22,79.14,78.03,79.1,79.1,1727124,0.0000,1.0
2020-08-19,78.87,79.77,78.31,78.77,78.77,2566238,0.0000,1.0
2020-08-18,78.46,78.82,77.9238,78.59,78.59,1397854,0.0000,1.0
2020-08-17,78.15,79.06,78.07,78.44,78.44,1629522,0.0000,1.0
2020-08-14,78.69,79.14,77.67,78.07,78.07,1317747,0.0000,1.0
2020-08-13,78.24,79.84,77.98,79.4,79.4,2332944,0.0000,1.0
2020-08-12,77.0,78.84,76.955,78.58,78.58,2050004,0.0000,1.0
2020-08-11,76.47,77.6,75.55,76.66,76.66,2189852,0.0000,1.0
2020-08-10,76.82,77.13,75.49,75.78,75.78,1902086,0.0000,1.0
2020-08-07,77.27,77.64,76.16,76.94,76.94,2221287,0.0000,1.0
2020-08-06,77.53,77.76,76.5,77.41,77.41,1353588,0.0000,1.0
2020-08-05,76.85,78.4,76.73,78.12,78.12,1420964,0.0000,1.0
2020-08-04,77.82,77.9373,76.05,76.6,76.6,2003747,0.0000,1.0
2020-08-03,78.58,78.875,77.72,78.02,78.02,1554870,0.0000,1.0
2020-07-31,79.06,79.3,77.79,78.41,78.41,2184350,0.0000,1.0
2020-07-30,78.27,79.06,77.42,78.95,78.95,1666155,0.0000,1.0
2020-07-29,77.73,80.29,77.55,79.33,79.33,1834021,0.0000,1.0
2020-07-28,78.26,78.89,77.41,77.44,77.44,2007142,0.0000,1.0
2020-07-27,78.12,79.1755,77.4,78.69,78.69,2466946,0.0000,1.0
2020-07-24,80.0,80.5,76.1,78.13,78.13,5463072,0.0000,1.0
2020-07-23,77.98,78.92,77.16,77.32,77.32,3360978,0.0000,1.0
2020-07-22,75.87,78.56,75.625,77.91,77.91,3373317,0.0000,1.0
2020-07-21,75.39,76.58,75.0,75.94,75.94,2794618,0.0000,1.0
2020-07-20,74.05,75.81,74.01,74.64,74.64,2609778,0.0000,1.0
2020-07-17,72.04,74.6,71.25,74.11,74.11,5154100,0.0000,1.0
2020-07-16,71.96,72.19,71.16,71.85,71.85,2115000,0.0000,1.0
2020-07-15,72.19,73.61,71.43,72.47,72.47,3809800,0.0000,1.0
