timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-03,47.47,48.01,47.23,47.37,47.37,2447131,0.0000,1.0
2020-12-02,48.311,48.675,47.405,47.58,47.58,2338891,0.0000,1.0
2020-12-01,49.51,49.6,48.42,48.52,48.52,3424854,0.4000,1.0
2020-11-30,48.53,49.53,48.31,49.45,49.0456663941,6174054,0.0000,1.0
2020-11-27,48.25,48.8,48.13,48.58,48.1827800491,1655295,0.0000,1.0
2020-11-25,48.78,48.95,47.84,48.19,47.7959689289,2172679,0.0000,1.0
2020-11-24,48.13,49.14,47.63,48.94,48.5398364677,3672633,0.0000,1.0
2020-11-23,47.38,47.97,47.06,47.91,47.518258381,4708572,0.0000,1.0
2020-11-20,47.83,48.11,47.2,47.3,46.9132461161,5157452,0.0000,1.0
2020-11-19,47.5,48.08,46.93,47.98,47.587686018,1846977,0.0000,1.0
2020-11-18,47.71,48.15,47.43,47.61,47.2207113655,2655750,0.0000,1.0
2020-11-17,48.06,48.29,47.46,47.655,47.2653434178,2356708,0.0000,1.0
2020-11-16,47.75,48.61,47.36,48.61,48.2125347506,2254601,0.0000,1.0
2020-11-13,46.79,47.67,46.67,47.53,47.1413654947,2156144,0.0000,1.0
2020-11-12,47.02,47.12,46.01,46.33,45.9511774325,2589095,0.0000,1.0
2020-11-11,47.12,47.36,46.42,47.24,46.853736713,2089477,0.0000,1.0
2020-11-10,45.55,47.17,45.47,46.76,46.3776614881,3750982,0.0000,1.0
2020-11-09,48.66,49.36,45.91,45.99,45.6139574816,3904932,0.0000,1.0
2020-11-06,46.41,47.13,46.04,46.98,46.5958626329,2136603,0.0000,1.0
2020-11-05,47.41,47.65,46.29,46.34,45.9610956664,3267509,0.0000,1.0
2020-11-04,46.71,47.75,46.39,46.6,46.2189697465,4040682,0.0000,1.0
2020-11-03,45.06,46.43,45.06,46.22,45.8420768602,3124214,0.0000,1.0
2020-11-02,43.67,44.55,43.67,44.52,44.1559771055,2695600,0.0000,1.0
2020-10-30,42.88,43.495,42.63,43.23,42.8765249387,3018333,0.0000,1.0
2020-10-29,42.96,43.65,42.57,43.12,42.7674243663,2291171,0.0000,1.0
2020-10-28,42.79,43.38,42.66,42.94,42.588896157,3218821,0.0000,1.0
2020-10-27,44.42,44.57,43.53,43.58,43.2236631235,2332847,0.0000,1.0
