timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-03,335.45,347.75,334.86,346.57,346.57,295023,0.0000,1.0
2020-12-02,340.64,342.6,333.38,336.15,336.15,188139,0.0000,1.0
2020-12-01,336.64,343.25,334.62,342.23,342.23,378547,0.0000,1.0
2020-11-30,325.53,338.57,325.53,333.76,333.76,462463,0.0000,1.0
2020-11-27,323.61,324.88,321.88,322.75,322.75,89840,0.7700,1.0
2020-11-25,319.81,323.03,316.96,322.28,321.512951286,144828,0.0000,1.0
2020-11-24,320.86,323.6403,318.815,319.88,319.118663452,184379,0.0000,1.0
2020-11-23,322.0,324.775,317.69,318.88,318.121043521,166135,0.0000,1.0
2020-11-20,319.09,324.68,318.465,321.55,320.784688736,187407,0.0000,1.0
2020-11-19,318.09,321.37,315.12,317.96,317.203233185,149292,0.0000,1.0
2020-11-18,323.68,323.68,317.0,317.06,316.305375247,173560,0.0000,1.0
2020-11-17,327.43,328.33,321.79,323.25,322.480642619,157401,0.0000,1.0
2020-11-16,329.37,333.205,327.41,329.95,329.164696155,156616,0.0000,1.0
2020-11-13,326.59,330.745,324.635,328.26,327.478718472,125519,0.0000,1.0
2020-11-12,334.36,334.565,323.65,324.76,323.987048714,177923,0.0000,1.0
2020-11-11,326.27,338.12,324.92,335.15,334.352319795,252250,0.0000,1.0
2020-11-10,316.36,324.34,314.03,323.1,322.330999629,224719,0.0000,1.0
2020-11-09,345.87,348.48,316.32,316.71,315.956208272,332956,0.0000,1.0
2020-11-06,333.95,336.755,328.66,335.83,335.030701348,151505,0.0000,1.0
2020-11-05,332.61,334.75,330.24,332.97,332.177508346,161936,0.0000,1.0
2020-11-04,322.24,333.63,322.0,327.88,327.099622898,204442,0.0000,1.0
2020-11-03,313.98,322.345,311.79,319.48,318.71961548,271764,0.0000,1.0
2020-11-02,310.69,315.87,307.17,311.18,310.439370054,429960,0.0000,1.0
2020-10-30,307.91,309.84,303.11,306.5,305.770508778,297559,0.0000,1.0
2020-10-29,310.26,313.03,306.01,310.25,309.511583519,220667,0.0000,1.0
2020-10-28,313.13,313.9,308.22,311.23,310.489251051,211497,0.0000,1.0
2020-10-27,323.23,326.26,318.8,318.9,318.14099592,179764,0.0000,1.0
2020-10-26,324.81,329.46,318.4,322.27,321.502975087,236154,0.0000,1.0
2020-10-23,327.93,331.39,325.73,328.48,327.698194857,141846,0.0000,1.0
2020-10-22,332.82,335.285,327.38,327.97,327.189408692,158712,0.0000,1.0
2020-10-21,334.48,338.44,332.595,332.8,332.007912957,129340,0.0000,1.0
2020-10-20,334.21,338.28,332.87,333.3,332.506722923,135964,0.0000,1.0
2020-10-19,341.77,344.44,333.043,333.93,333.135223479,176584,0.0000,1.0
2020-10-16,340.29,341.17,337.45,339.56,338.751823689,183484,0.0000,1.0
2020-10-15,328.66,339.425,328.66,337.74,336.936155415,203312,0.0000,1.0
2020-10-14,337.38,338.22,332.7,335.24,334.442105589,159817,0.0000,1.0
2020-10-13,330.08,336.63,329.82,335.55,334.751367767,309107,0.0000,1.0
2020-10-12,328.38,331.44,326.72,329.56,328.775624382,214223,0.0000,1.0
2020-10-09,330.99,332.35,326.915,327.47,326.690598727,172704,0.0000,1.0
2020-10-08,326.79,330.86,324.72,328.6,327.817909248,242419,0.0000,1.0
2020-10-07,324.18,326.62,323.3,325.38,324.605573071,287108,0.0000,1.0
2020-10-06,324.38,327.7234,321.15,321.77,321.004165121,274114,0.0000,1.0
2020-10-05,325.93,328.95,320.57,323.15,322.380880626,291433,0.0000,1.0
2020-10-02,323.86,327.97,322.51,323.72,322.949523986,357614,0.0000,1.0
2020-10-01,335.18,339.18,326.96,328.0,327.21933729,342512,0.0000,1.0
2020-09-30,333.96,338.7,331.97,334.88,334.082962413,261911,0.0000,1.0
2020-09-29,332.25,337.5,332.25,333.96,333.165152077,220236,0.0000,1.0
2020-09-28,331.5,336.72,331.5,333.29,332.496746724,254814,0.0000,1.0
2020-09-25,332.65,332.65,322.78,328.4,327.618385262,326904,0.0000,1.0
2020-09-24,345.0,357.92,331.24,334.36,333.564200049,408980,0.0000,1.0
2020-09-23,338.08,340.62,328.0387,330.72,329.932863501,227894,0.0000,1.0
2020-09-22,337.44,341.8551,330.84,338.8,337.993632542,219044,0.0000,1.0
2020-09-21,330.33,338.18,327.65,336.84,336.038297478,278194,0.0000,1.0
2020-09-18,335.7,339.66,333.13,336.4,335.599344708,684081,0.0000,1.0
2020-09-17,329.37,336.02,328.86,333.04,332.247341741,183890,0.0000,1.0
2020-09-16,337.16,342.29,333.48,334.12,333.324771266,176137,0.0000,1.0
2020-09-15,336.72,338.31,334.335,336.33,335.529511313,104541,0.0000,1.0
2020-09-14,331.46,335.69,329.73,333.42,332.626437315,220123,0.0000,1.0
2020-09-11,326.89,329.88,324.965,327.04,326.261622156,146353,0.0000,1.0
2020-09-10,333.19,334.11,323.24,325.05,324.276358494,173114,0.0000,1.0
2020-09-09,327.38,336.33,326.12,332.67,331.878222366,207933,0.0000,1.0
2020-09-08,327.99,328.68,320.135,322.6,321.832189664,354071,0.0000,1.0
2020-09-04,341.02,341.3,327.0,332.47,331.67869838,265412,0.0000,1.0
