timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-03,49.98,51.12,49.98,50.89,50.89,135823,0.0000,1.0
2020-12-02,50.21,50.625,49.64,49.93,49.93,243279,0.0000,1.0
2020-12-01,51.11,51.84,49.94,50.12,50.12,312508,0.0000,1.0
2020-11-30,51.3,51.87,50.1,50.39,50.39,312906,0.0000,1.0
2020-11-27,51.33,51.51,50.35,51.42,51.42,77772,0.0000,1.0
2020-11-25,52.04,52.29,51.17,51.4,51.4,181900,0.0000,1.0
2020-11-24,51.61,52.73,51.25,52.37,52.37,304028,0.0000,1.0
2020-11-23,49.84,51.05,49.67,51.01,51.01,304666,0.0000,1.0
2020-11-20,49.42,49.68,48.36,49.22,49.22,188201,0.0000,1.0
2020-11-19,49.0,50.12,48.11,49.79,49.79,289485,0.0000,1.0
2020-11-18,50.26,50.49,49.21,49.27,49.27,201381,0.0000,1.0
2020-11-17,50.52,50.57,49.6331,49.8,49.8,272490,0.0000,1.0
2020-11-16,51.41,51.5,50.1601,51.05,51.05,256136,0.0000,1.0
2020-11-13,50.18,51.37,49.85,50.34,50.34,181682,0.0000,1.0
2020-11-12,49.97,50.62,49.01,49.63,49.63,255951,0.0000,1.0
2020-11-11,51.4,51.535,48.92,50.59,50.59,187340,0.0000,1.0
2020-11-10,49.15,51.71,49.15,51.11,51.11,334078,0.0000,1.0
2020-11-09,51.18,51.48,48.3,48.42,48.42,283142,0.0000,1.0
2020-11-06,47.89,48.25,46.5415,46.6,46.6,201843,0.1100,1.0
2020-11-05,46.61,48.2279,46.61,47.68,47.5677156926,214732,0.0000,1.0
2020-11-04,46.68,47.54,45.64,46.32,46.2109184329,206746,0.0000,1.0
2020-11-03,47.74,48.4,46.83,47.55,47.4380218369,250432,0.0000,1.0
2020-11-02,46.59,47.07,45.5,46.63,46.5201883965,357159,0.0000,1.0
2020-10-30,44.7,46.22,44.68,45.8,45.6921430101,446583,0.0000,1.0
2020-10-29,43.62,45.32,43.62,44.68,44.5747805609,362729,0.0000,1.0
2020-10-28,45.81,46.8,44.2,44.22,44.1158638407,727971,0.0000,1.0
2020-10-27,51.89,52.51,46.24,47.18,47.0688931706,1076038,0.0000,1.0
2020-10-26,54.06,54.9,53.41,54.18,54.0524084778,250200,0.0000,1.0
2020-10-23,55.93,56.3099,54.8,55.11,54.9802183687,137606,0.0000,1.0
2020-10-22,55.03,55.645,54.28,55.51,55.3792763862,152883,0.0000,1.0
2020-10-21,55.5,55.81,54.77,54.9,54.7707129094,160111,0.0000,1.0
2020-10-20,55.19,55.87,54.87,55.46,55.329394134,142264,0.0000,1.0
2020-10-19,56.35,56.47,54.25,54.59,54.4614429458,214851,0.0000,1.0
2020-10-16,56.37,56.89,56.07,56.07,55.9379576108,144807,0.0000,1.0
2020-10-15,55.0,56.54,54.84,56.49,56.3569685292,213061,0.0000,1.0
2020-10-14,56.73,57.06,55.7,55.77,55.6386640976,157867,0.0000,1.0
2020-10-13,57.3,57.455,56.04,56.42,56.2871333762,248957,0.0000,1.0
2020-10-12,57.82,58.14,57.1916,57.98,57.8434596446,194839,0.0000,1.0
2020-10-09,57.74,58.11,56.78,57.64,57.5042603297,136197,0.0000,1.0
2020-10-08,56.9,57.79,56.65,57.62,57.4843074288,210175,0.0000,1.0
2020-10-07,55.84,56.4618,55.38,56.2,56.0676514665,341455,0.0000,1.0
2020-10-06,54.83,56.37,54.57,55.19,55.0600299722,357623,0.0000,1.0
2020-10-05,53.0,54.4,52.87,54.05,53.9227146221,240627,0.0000,1.0
2020-10-02,51.24,52.97,51.24,52.59,52.4661528581,112942,0.0000,1.0
2020-10-01,51.5,52.24,51.11,52.0,51.8775422822,188057,0.0000,1.0
2020-09-30,51.77,52.955,51.2,51.51,51.3886962107,201260,0.0000,1.0
2020-09-29,51.84,52.13,51.2,51.51,51.3886962107,358786,0.0000,1.0
2020-09-28,51.02,52.08,50.98,51.84,51.7179190751,152612,0.0000,1.0
2020-09-25,49.76,50.7,49.76,50.39,50.2713337615,161693,0.0000,1.0
