timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-03,14.02,14.63,14.02,14.39,14.39,3981075,0.0000,1.0
2020-12-02,14.14,14.195,14.01,14.06,14.06,2855173,0.0000,1.0
2020-12-01,14.47,14.58,14.01,14.14,14.14,4656066,0.0000,1.0
2020-11-30,14.4,14.45,14.0,14.2,14.2,4904658,0.0000,1.0
2020-11-27,14.73,14.77,14.39,14.43,14.43,2805372,0.0000,1.0
2020-11-25,14.34,14.545,14.1611,14.5,14.5,4303258,0.0000,1.0
2020-11-24,14.17,14.89,14.16,14.82,14.82,5544606,0.0000,1.0
2020-11-23,13.73,14.17,13.645,14.01,14.01,4092340,0.0000,1.0
2020-11-20,13.52,13.7,13.3621,13.63,13.63,3315935,0.0000,1.0
2020-11-19,13.49,13.62,13.335,13.56,13.56,4104497,0.0000,1.0
2020-11-18,13.56,13.78,13.4,13.41,13.41,4735441,0.0000,1.0
2020-11-17,13.23,13.64,13.02,13.53,13.53,5697294,0.0000,1.0
2020-11-16,13.23,13.36,13.02,13.32,13.32,7543226,0.0000,1.0
2020-11-13,12.67,13.04,12.62,12.95,12.95,4634520,0.0000,1.0
2020-11-12,12.81,12.89,12.28,12.45,12.45,8206889,0.0000,1.0
2020-11-11,13.23,13.28,12.89,12.92,12.92,5657568,0.0000,1.0
2020-11-10,12.82,13.04,12.72,12.98,12.98,10399432,0.0000,1.0
2020-11-09,13.1,13.415,12.54,12.81,12.81,16176423,0.1500,1.0
2020-11-06,13.31,13.75,12.74,12.85,12.7012731481,14479979,0.0000,1.0
2020-11-05,14.0,14.4,12.85,13.33,13.1757175926,30430262,0.0000,1.0
2020-11-04,16.78,16.89,16.31,16.37,16.1805324074,4347667,0.0000,1.0
2020-11-03,16.84,16.92,16.56,16.82,16.6253240741,3319192,0.0000,1.0
2020-11-02,16.3,16.745,16.21,16.59,16.3979861111,3412433,0.0000,1.0
2020-10-30,16.54,16.63,15.875,16.07,15.8840046296,3381435,0.0000,1.0
2020-10-29,16.61,16.61,16.21,16.51,16.318912037,5454225,0.0000,1.0
2020-10-28,17.13,17.25,16.43,16.52,16.3287962963,3708495,0.0000,1.0
2020-10-27,17.48,17.595,17.3,17.5,17.2974537037,3114709,0.0000,1.0
2020-10-26,17.39,17.47,17.12,17.47,17.2678009259,3861330,0.0000,1.0
2020-10-23,17.73,17.735,17.425,17.58,17.3765277778,2478580,0.0000,1.0
2020-10-22,17.28,17.705,17.12,17.62,17.4160648148,3379818,0.0000,1.0
2020-10-21,17.0,17.4,16.94,17.26,17.0602314815,3006547,0.0000,1.0
2020-10-20,17.02,17.525,16.87,17.11,16.9119675926,4486943,0.0000,1.0
2020-10-19,17.19,17.27,16.62,16.73,16.5363657407,4369807,0.0000,1.0
2020-10-16,17.44,17.49,17.19,17.2,17.0009259259,3931007,0.0000,1.0
2020-10-15,16.8,17.37,16.76,17.34,17.1393055556,2557053,0.0000,1.0
2020-10-14,16.94,17.175,16.9,17.02,16.8230092593,2791840,0.0000,1.0
2020-10-13,17.21,17.35,16.93,17.02,16.8230092593,2419717,0.0000,1.0
2020-10-12,17.25,17.32,17.09,17.27,17.0701157407,2999956,0.0000,1.0
2020-10-09,17.04,17.25,16.845,17.21,17.0108101852,4469112,0.0000,1.0
2020-10-08,16.82,17.07,16.72,16.97,16.773587963,3639134,0.0000,1.0
2020-10-07,16.95,17.33,16.77,16.8,16.6055555556,5555175,0.0000,1.0
2020-10-06,16.82,17.175,16.61,16.61,16.4177546296,6874212,0.0000,1.0
2020-10-05,16.26,16.76,16.11,16.74,16.54625,6212702,0.0000,1.0
2020-10-02,15.5,16.175,15.29,16.15,15.9630787037,3537224,0.0000,1.0
2020-10-01,15.85,16.13,15.525,15.95,15.7653935185,4368822,0.0000,1.0
2020-09-30,15.47,15.88,15.47,15.75,15.5677083333,5010609,0.0000,1.0
2020-09-29,15.79,15.79,15.315,15.44,15.2612962963,3652182,0.0000,1.0
2020-09-28,15.82,15.97,15.63,15.79,15.6072453704,3781148,0.0000,1.0
2020-09-25,15.46,15.6,15.19,15.51,15.3304861111,6205621,0.0000,1.0
2020-09-24,15.9,15.9082,15.3,15.58,15.3996759259,3502440,0.0000,1.0
2020-09-23,15.85,16.25,15.825,16.0,15.8148148148,6030069,0.0000,1.0
2020-09-22,15.34,15.68,15.32,15.64,15.4589814815,3184104,0.0000,1.0
2020-09-21,15.35,15.435,15.13,15.29,15.1130324074,5156511,0.0000,1.0
2020-09-18,15.77,15.875,15.505,15.67,15.4886342593,14116529,0.0000,1.0
2020-09-17,15.94,16.095,15.55,15.8,15.6171296296,6030695,0.0000,1.0
2020-09-16,15.81,16.44,15.745,16.21,16.0223842593,6592931,0.0000,1.0
2020-09-15,15.92,16.12,15.58,15.71,15.5281712963,6808307,0.0000,1.0
2020-09-14,15.55,15.84,15.39,15.78,15.5973611111,4137077,0.0000,1.0
2020-09-11,15.47,15.53,15.2,15.39,15.211875,3955836,0.0000,1.0
2020-09-10,15.52,15.655,15.22,15.28,15.1031481481,2629709,0.0000,1.0
2020-09-09,15.54,15.54,15.14,15.38,15.2019907407,3071429,0.0000,1.0
2020-09-08,15.25,15.69,15.19,15.52,15.3403703704,4169453,0.0000,1.0
2020-09-04,15.7,15.8,15.24,15.41,15.2316435185,5482516,0.0000,1.0
2020-09-03,15.94,16.145,15.42,15.51,15.3304861111,3791460,0.0000,1.0
2020-09-02,15.7,15.99,15.58,15.92,15.7357407407,4859563,0.0000,1.0
2020-09-01,15.24,15.6,15.13,15.54,15.3601388889,4703154,0.0000,1.0
2020-08-31,15.7,15.7,15.19,15.29,15.1130324074,4902336,0.0000,1.0
2020-08-28,15.81,15.895,15.46,15.72,15.5380555556,3097849,0.0000,1.0
2020-08-27,15.74,16.0,15.68,15.73,15.5479398148,3340231,0.0000,1.0
2020-08-26,15.87,15.99,15.56,15.57,15.3897916667,4704803,0.0000,1.0
2020-08-25,16.18,16.28,15.845,16.01,15.8246990741,4519137,0.0000,1.0
2020-08-24,15.72,16.06,15.62,16.04,15.8543518519,4925959,0.0000,1.0
2020-08-21,15.74,15.94,15.51,15.68,15.4985185185,3514450,0.0000,1.0
2020-08-20,15.7,15.85,15.55,15.65,15.4688657407,3107719,0.0000,1.0
2020-08-19,15.7,16.1,15.66,15.78,15.5973611111,4755923,0.0000,1.0
2020-08-18,15.77,15.885,15.46,15.76,15.5775925926,3792560,0.0000,1.0
2020-08-17,15.78,15.9,15.59,15.84,15.6566666667,4196832,0.0000,1.0
2020-08-14,15.58,15.895,15.45,15.77,15.5874768519,3102350,0.0000,1.0
2020-08-13,15.86,15.87,15.45,15.6,15.4194444444,5504266,0.0000,1.0
2020-08-12,16.12,16.18,15.64,15.97,15.785162037,5509732,0.0000,1.0
2020-08-11,16.56,16.755,15.905,15.95,15.7653935185,6786633,0.0000,1.0
2020-08-10,15.0,16.025,14.93,15.78,15.5973611111,10471962,0.1500,1.0
2020-08-07,14.27,15.05,14.1625,15.04,14.7259454558,7000616,0.0000,1.0
2020-08-06,14.79,14.84,14.24,14.27,13.9720240462,6645695,0.0000,1.0
2020-08-05,14.35,14.78,14.35,14.74,14.4322098417,4792337,0.0000,1.0
2020-08-04,14.3,14.61,14.135,14.26,13.962232859,6068182,0.0000,1.0
2020-08-03,14.23,14.52,14.12,14.32,14.0209799819,8092522,0.0000,1.0
2020-07-31,14.4,14.56,13.86,14.13,13.8349474262,19984108,0.0000,1.0
2020-07-30,15.05,15.6,14.01,14.26,13.962232859,16741645,0.0000,1.0
2020-07-29,14.31,14.76,14.2442,14.64,14.3342979703,6063571,0.0000,1.0
2020-07-28,14.09,14.46,14.03,14.21,13.9132769233,5926555,0.0000,1.0
2020-07-27,13.96,14.22,13.885,14.16,13.8643209877,5480112,0.0000,1.0
2020-07-24,14.1,14.29,13.955,13.97,13.678288432,5184211,0.0000,1.0
2020-07-23,14.01,14.34,13.945,14.08,13.7859914905,5310175,0.0000,1.0
2020-07-22,13.9,14.2163,13.79,14.05,13.7566179291,5251395,0.0000,1.0
2020-07-21,14.0,14.27,13.83,13.88,13.5901677478,5271649,0.0000,1.0
2020-07-20,14.02,14.13,13.69,13.98,13.6880796192,6134854,0.0000,1.0
2020-07-17,14.34,14.34,13.91,14.02,13.7272443677,6906488,0.0000,1.0
2020-07-16,14.16,14.47,13.95,14.26,13.962232859,7271186,0.0000,1.0
2020-07-15,13.25,14.53,13.17,14.34,14.0405623561,26891152,0.0000,1.0
