timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-03,463.85,467.825,458.38,460.07,460.07,337822,0.0000,1.0
2020-12-02,465.51,467.5,461.5,462.59,462.59,351973,0.0000,1.0
2020-12-01,461.99,468.975,452.22,467.86,467.86,386700,0.0000,1.0
2020-11-30,454.77,461.09,451.31,460.98,460.98,589814,0.0000,1.0
2020-11-27,452.05,455.97,446.68,454.23,454.23,173865,0.0000,1.0
2020-11-25,449.24,454.82,443.14,446.48,446.48,338900,0.0000,1.0
2020-11-24,459.49,466.77,446.46,446.83,446.83,481483,0.0000,1.0
2020-11-23,467.26,467.26,449.71,459.79,459.79,440853,0.0000,1.0
2020-11-20,456.23,469.13,455.0,464.29,464.29,411438,0.0000,1.0
2020-11-19,444.77,457.81,444.77,457.19,457.19,318476,0.0000,1.0
2020-11-18,451.36,455.0,443.65,444.06,444.06,347447,0.0000,1.0
2020-11-17,454.62,457.0,450.54,455.85,455.85,315420,0.0000,1.0
2020-11-16,452.09,459.43,448.815,455.37,455.37,500036,0.0000,1.0
2020-11-13,452.99,458.35,448.67,453.64,453.64,254364,0.0000,1.0
2020-11-12,459.62,462.56,445.06,449.22,449.22,396501,0.0000,1.0
2020-11-11,443.69,455.74,443.69,455.06,455.06,432247,0.0000,1.0
2020-11-10,431.89,443.72,421.15,441.23,441.23,865535,0.0000,1.0
2020-11-09,485.0,485.0,435.58,436.45,436.45,822988,0.0000,1.0
2020-11-06,469.99,479.15,466.36,478.1,478.1,519868,0.0000,1.0
2020-11-05,473.99,480.185,462.68,467.97,467.97,440726,0.0000,1.0
2020-11-04,455.26,482.5,451.58,469.36,469.36,734203,0.0000,1.0
2020-11-03,437.32,448.29,437.32,444.1,444.1,382362,0.0000,1.0
2020-11-02,430.48,446.74,428.08,431.05,431.05,552465,0.0000,1.0
2020-10-30,438.47,441.72,419.12,424.82,424.82,611155,0.0000,1.0
2020-10-29,440.0,453.2,433.085,441.8,441.8,557975,0.0000,1.0
2020-10-28,434.5,441.475,422.1125,422.89,422.89,475817,0.0000,1.0
2020-10-27,430.27,444.96,430.27,443.16,443.16,385866,0.0000,1.0
2020-10-26,427.67,434.93,426.23,428.96,428.96,394859,0.0000,1.0
2020-10-23,429.67,429.73,423.55,429.66,429.66,227343,0.0000,1.0
2020-10-22,421.34,427.826,417.565,423.59,423.59,357807,0.0000,1.0
2020-10-21,421.47,426.42,416.48,419.73,419.73,237119,0.0000,1.0
2020-10-20,423.81,426.42,419.8738,420.09,420.09,193849,0.0000,1.0
2020-10-19,424.11,431.15,417.54,419.27,419.27,418736,0.0000,1.0
2020-10-16,423.76,429.695,420.81,423.75,423.75,269540,0.0000,1.0
2020-10-15,416.42,423.94,414.68,422.72,422.72,251867,0.0000,1.0
2020-10-14,420.82,430.86,416.03,420.51,420.51,314330,0.0000,1.0
2020-10-13,421.81,424.8,415.03,421.42,421.42,408640,0.0000,1.0
2020-10-12,404.88,424.87,404.88,419.39,419.39,469490,0.0000,1.0
2020-10-09,395.0,401.96,393.02,400.65,400.65,283030,0.0000,1.0
2020-10-08,388.94,394.39,385.81,393.51,393.51,205921,0.0000,1.0
2020-10-07,388.02,391.55,385.26,386.23,386.23,287868,0.0000,1.0
2020-10-06,391.88,393.54,383.12,384.31,384.31,298653,0.0000,1.0
2020-10-05,385.27,392.83,385.27,392.37,392.37,295285,0.0000,1.0
2020-10-02,389.7,393.82,382.68,383.85,383.85,318861,0.0000,1.0
2020-10-01,396.29,398.155,391.88,394.78,394.78,382927,0.0000,1.0
2020-09-30,383.45,397.26,383.45,393.11,393.11,533485,0.0000,1.0
2020-09-29,388.22,395.21,385.0,385.06,385.06,308316,0.0000,1.0
2020-09-28,381.81,387.68,380.16,386.37,386.37,446089,0.0000,1.0
2020-09-25,364.95,380.65,364.58,377.83,377.83,380960,0.0000,1.0
2020-09-24,363.1,368.8,361.1732,365.47,365.47,279648,0.0000,1.0
2020-09-23,367.78,372.3,362.65,363.87,363.87,340597,0.0000,1.0
2020-09-22,364.9,369.68,359.21,368.32,368.32,440823,0.0000,1.0
2020-09-21,351.33,365.24,348.685,364.7,364.7,532112,0.0000,1.0
2020-09-18,355.34,359.33,347.54,354.76,354.76,1108086,0.0000,1.0
2020-09-17,357.58,360.455,350.64,354.2,354.2,702866,0.0000,1.0
2020-09-16,372.75,372.8,360.32,362.36,362.36,627885,0.0000,1.0
2020-09-15,367.0,372.61,366.95,369.24,369.24,291374,0.0000,1.0
2020-09-14,370.25,370.25,364.27,365.56,365.56,381239,0.0000,1.0
2020-09-11,369.44,371.78,360.27,364.82,364.82,359096,0.0000,1.0
2020-09-10,375.05,378.69,365.67,367.76,367.76,289124,0.0000,1.0
2020-09-09,366.37,376.275,365.045,374.16,374.16,457717,0.0000,1.0
2020-09-08,367.9,370.22,361.48,364.19,364.19,400937,0.0000,1.0
2020-09-04,382.11,383.03,363.83,370.66,370.66,550729,0.0000,1.0
2020-09-03,406.1,406.1,377.1901,381.28,381.28,485339,0.0000,1.0
2020-09-02,399.0,407.45,398.38,406.31,406.31,508547,0.0000,1.0
2020-09-01,393.95,398.59,391.25,398.49,398.49,400788,0.0000,1.0
2020-08-31,382.68,393.4,382.525,391.06,391.06,411132,0.0000,1.0
2020-08-28,387.79,389.06,381.07,383.98,383.98,357796,0.0000,1.0
2020-08-27,387.62,389.35,379.745,386.28,386.28,291610,0.0000,1.0
2020-08-26,382.41,386.7827,376.61,386.02,386.02,295472,0.0000,1.0
2020-08-25,380.0,386.35,377.61,383.93,383.93,346675,0.0000,1.0
2020-08-24,384.2283,386.68,378.1,380.62,380.62,386420,0.0000,1.0
2020-08-21,382.7,384.03,377.01,383.46,383.46,740140,0.0000,1.0
2020-08-20,381.5,385.28,379.5,383.33,383.33,293984,0.0000,1.0
2020-08-19,389.32,390.08,380.91,381.5,381.5,341724,0.0000,1.0
2020-08-18,384.01,387.745,381.56,386.65,386.65,337952,0.0000,1.0
2020-08-17,381.91,385.47,381.67,384.39,384.39,505335,0.0000,1.0
2020-08-14,384.78,386.0,377.4,379.4,379.4,476700,0.0000,1.0
2020-08-13,385.98,389.5,382.7,385.25,385.25,415626,0.0000,1.0
2020-08-12,375.02,387.84,375.02,384.83,384.83,444192,0.0000,1.0
2020-08-11,376.2,379.39,372.18,374.03,374.03,528192,0.0000,1.0
2020-08-10,380.83,382.29,376.16,377.19,377.19,621905,0.0000,1.0
2020-08-07,387.96,392.305,377.72,381.76,381.76,566955,0.0000,1.0
2020-08-06,394.01,395.74,384.19,389.78,389.78,431923,0.0000,1.0
2020-08-05,393.12,396.41,388.82,395.71,395.71,579731,0.0000,1.0
