timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-03,136.64,137.95,136.45,137.82,137.82,2210277,0.0000,1.0
2020-12-02,141.05,141.365,137.82,138.34,138.34,2453060,0.0000,1.0
2020-12-01,139.5,141.42,138.46,141.28,141.28,1970962,0.0000,1.0
2020-11-30,141.49,142.47,139.09,139.31,139.31,7673652,0.0000,1.0
2020-11-27,140.79,142.98,140.75,141.37,141.37,1174231,0.0000,1.0
2020-11-25,140.16,141.68,140.13,140.7,140.7,1375251,0.0000,1.0
2020-11-24,139.79,141.47,139.05,139.2,139.2,2568367,0.0000,1.0
2020-11-23,139.78,140.0,138.275,139.22,139.22,2085878,0.0000,1.0
2020-11-20,141.62,142.35,139.3,139.76,139.76,2629966,0.0000,1.0
2020-11-19,142.31,143.78,140.61,141.74,141.74,2377441,0.0000,1.0
2020-11-18,144.0,144.39,141.03,141.06,141.06,2753675,0.0000,1.0
2020-11-17,140.65,144.44,140.65,143.83,143.83,3224760,0.0000,1.0
2020-11-16,139.17,142.47,138.66,142.09,142.09,3730929,0.0000,1.0
2020-11-13,138.28,140.35,137.93,140.34,140.34,1655521,0.0000,1.0
2020-11-12,138.02,138.84,136.55,138.13,138.13,2299636,0.0000,1.0
2020-11-11,137.28,137.91,135.611,137.78,137.78,2335817,0.0000,1.0
2020-11-10,132.4,137.06,131.14,136.55,136.55,2420698,0.0000,1.0
2020-11-09,135.16,136.5,132.36,132.66,132.66,3283127,0.0000,1.0
2020-11-06,134.4,136.95,134.35,136.18,136.18,1681883,0.0000,1.0
2020-11-05,136.59,136.7291,134.2,134.32,134.32,1962797,0.0000,1.0
2020-11-04,136.17,137.75,134.89,135.12,135.12,2240910,0.0000,1.0
2020-11-03,135.06,137.11,134.6,135.35,135.35,1822144,0.0000,1.0
2020-11-02,134.27,136.34,133.7,134.35,134.35,1965146,0.0000,1.0
2020-10-30,133.35,134.56,131.05,132.59,132.59,2140016,0.0000,1.0
2020-10-29,132.39,134.14,130.55,132.83,132.83,2613270,0.0000,1.0
2020-10-28,133.05,134.08,131.1312,132.99,132.99,2728071,0.0000,1.0
2020-10-27,136.6,137.83,134.76,134.76,134.76,1899791,0.0000,1.0
2020-10-26,136.02,137.4,134.57,135.69,135.69,2295064,0.0000,1.0
2020-10-23,138.56,139.26,136.705,136.88,136.88,2661598,0.0000,1.0
2020-10-22,140.75,142.43,136.04,138.09,138.09,6304463,0.0000,1.0
2020-10-21,147.8,149.52,147.09,148.38,148.38,2179154,0.0000,1.0
2020-10-20,152.29,152.74,148.01,148.52,148.52,1637325,0.0000,1.0
2020-10-19,153.33,154.15,150.42,150.81,150.81,1132748,0.0000,1.0
2020-10-16,154.05,154.19,152.675,153.33,153.33,1357368,0.0000,1.0
2020-10-15,152.9,155.0,152.252,154.32,154.32,1080539,0.0000,1.0
2020-10-14,153.72,155.26,151.26,152.64,152.64,1790910,0.0000,1.0
2020-10-13,154.03,155.45,153.3,154.22,154.22,1856218,0.0000,1.0
2020-10-12,153.07,154.33,152.53,153.39,153.39,1131124,0.0000,1.0
2020-10-09,150.6,152.75,150.5,152.49,152.49,1221292,0.0000,1.0
2020-10-08,151.2,151.2,149.77,150.31,150.31,1342323,0.0000,1.0
2020-10-07,150.48,151.685,149.565,150.85,150.85,1139262,0.0000,1.0
2020-10-06,149.53,151.46,149.22,150.0,150.0,1626501,0.0000,1.0
2020-10-05,147.34,149.62,147.34,149.53,149.53,1345961,0.0000,1.0
2020-10-02,146.62,148.51,145.83,147.43,147.43,1101775,0.0000,1.0
2020-10-01,148.08,148.65,146.5,147.63,147.63,1181740,0.0000,1.0
2020-09-30,146.94,148.32,146.68,147.66,147.66,1578795,0.0000,1.0
2020-09-29,147.6,147.94,146.02,146.34,146.34,965872,0.0000,1.0
2020-09-28,146.97,148.43,146.3,147.56,147.56,1483333,0.0000,1.0
2020-09-25,146.01,146.86,145.4,146.42,146.42,1013692,0.0000,1.0
2020-09-24,144.72,147.17,144.54,146.48,146.48,1110855,0.0000,1.0
2020-09-23,147.12,147.28,144.62,144.82,144.82,1446105,0.0000,1.0
2020-09-22,145.56,147.88,145.55,146.96,146.96,1075367,0.0000,1.0
2020-09-21,145.85,146.81,144.36,145.87,145.87,1238779,0.0000,1.0
2020-09-18,146.04,147.34,144.68,145.97,145.97,1949365,0.0000,1.0
2020-09-17,146.77,147.82,145.39,146.62,146.62,1450440,0.0000,1.0
2020-09-16,146.76,148.92,146.58,147.75,147.75,1476607,0.0000,1.0
2020-09-15,148.5,149.55,146.39,146.48,146.48,1811480,0.0000,1.0
2020-09-14,149.26,149.6594,148.15,148.5,148.5,1583490,0.0000,1.0
2020-09-11,148.6,149.04,147.25,148.5,148.5,2101182,0.0000,1.0
2020-09-10,151.1,151.61,148.03,148.15,148.15,1723610,0.0000,1.0
