timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-03,190.0,192.29,187.38,189.1,189.1,935346,0.0000,1.0
2020-12-02,188.0,192.55,188.0,189.37,189.37,1367728,0.0000,1.0
2020-12-01,187.75,189.59,186.76,187.1,187.1,620372,0.0000,1.0
2020-11-30,190.69,191.95,185.85,186.17,186.17,1118353,0.0000,1.0
2020-11-27,189.99,190.55,188.515,189.5,189.5,382813,0.0000,1.0
2020-11-25,189.56,190.09,186.36,189.6,189.6,806074,0.0000,1.0
2020-11-24,188.0,190.005,186.14,189.82,189.82,858978,0.0000,1.0
2020-11-23,189.41,190.32,185.32,186.24,186.24,1160815,0.0000,1.0
2020-11-20,188.59,190.69,186.91,188.45,188.45,767075,0.0000,1.0
2020-11-19,187.02,189.79,185.19,189.06,189.06,725216,0.0000,1.0
2020-11-18,191.58,193.035,188.42,188.55,188.55,716184,0.0000,1.0
2020-11-17,186.82,192.74,185.63,191.57,191.57,1137282,0.0000,1.0
2020-11-16,189.29,189.67,185.53,188.33,188.33,943223,0.0000,1.0
2020-11-13,187.0,189.38,186.35,187.07,187.07,748582,0.0000,1.0
2020-11-12,186.86,188.34,185.19,186.54,186.54,755809,0.0000,1.0
2020-11-11,188.84,189.81,185.36,188.02,188.02,694195,0.0000,1.0
2020-11-10,184.17,189.16,175.45,187.79,187.79,1473855,0.0000,1.0
2020-11-09,189.85,195.5,183.89,184.31,184.31,1515147,0.0000,1.0
2020-11-06,183.41,185.2683,182.9,183.43,183.43,477346,0.0000,1.0
2020-11-05,182.21,185.28,181.63,183.61,183.61,662637,0.0000,1.0
2020-11-04,185.0,186.93,179.06,179.62,179.62,1292224,0.0000,1.0
2020-11-03,180.43,186.14,180.04,183.52,183.52,1135717,0.0000,1.0
2020-11-02,178.95,180.62,176.18,178.12,178.12,797320,0.0000,1.0
2020-10-30,174.0,176.36,173.04,176.14,176.14,630328,0.0000,1.0
2020-10-29,172.76,178.51,171.825,175.21,175.21,814083,0.0000,1.0
2020-10-28,172.96,175.12,171.89,173.26,173.26,899815,0.0000,1.0
2020-10-27,180.42,180.5972,175.24,176.15,176.15,876690,0.0000,1.0
2020-10-26,181.94,182.32,177.63,179.79,179.79,1149733,0.0000,1.0
2020-10-23,182.68,185.805,182.68,184.46,184.46,608112,0.0000,1.0
2020-10-22,182.34,185.25,180.5,182.3,182.3,945541,0.0000,1.0
2020-10-21,180.86,184.98,180.86,182.08,182.08,897861,0.0000,1.0
2020-10-20,180.72,185.57,180.51,181.86,181.86,673968,0.0000,1.0
2020-10-19,180.55,186.44,178.88,179.59,179.59,1409082,0.0000,1.0
2020-10-16,183.72,185.95,178.36,179.01,179.01,2184345,0.0000,1.0
2020-10-15,182.82,184.68,182.13,184.01,184.01,716732,0.0000,1.0
2020-10-14,183.76,184.84,182.54,184.4,184.4,516185,0.0000,1.0
2020-10-13,183.26,185.01,180.67,182.83,182.83,597632,0.0000,1.0
