timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-03,480.14,491.75,479.22,484.07,484.07,1552059,0.0000,1.0
2020-12-02,466.26,480.98,465.55,479.22,479.22,1811558,0.0000,1.0
2020-12-01,460.06,469.49,457.59,467.65,467.65,1401057,0.0000,1.0
2020-11-30,455.2,456.89,445.6,452.66,452.66,1434529,0.0000,1.0
2020-11-27,450.19,460.615,449.82,456.54,456.54,727900,0.0000,1.0
2020-11-25,448.45,449.53,440.5,446.78,446.78,849217,0.0000,1.0
2020-11-24,450.0,451.12,440.75,446.44,446.44,1168131,0.0000,1.0
2020-11-23,436.58,449.8722,435.05,448.74,448.74,1089392,0.0000,1.0
2020-11-20,438.5,444.96,433.375,433.64,433.64,1445875,0.0000,1.0
2020-11-19,428.96,438.87,425.0,437.68,437.68,1125015,0.0000,1.0
2020-11-18,436.11,438.8421,430.0,430.33,430.33,1304749,0.0000,1.0
2020-11-17,435.5,437.82,428.95,431.93,431.93,991868,0.0000,1.0
2020-11-16,430.8,439.65,427.07,439.29,439.29,1346707,0.0000,1.0
2020-11-13,425.23,429.75,424.09,426.31,426.31,1136020,0.0000,1.0
2020-11-12,424.85,426.0,416.35,418.46,418.46,950391,0.0000,1.0
2020-11-11,411.98,428.61,410.0,424.0,424.0,1441594,0.0000,1.0
2020-11-10,409.09,415.74,404.46,407.87,407.87,1485557,0.0000,1.0
2020-11-09,425.0,436.0,415.81,416.28,416.28,1935197,0.0000,1.0
2020-11-06,399.88,412.01,395.85,409.42,409.42,1473785,0.0000,1.0
2020-11-05,390.0,400.34,388.45,399.71,399.71,1812919,0.0000,1.0
2020-11-04,373.89,383.1999,367.28,380.34,380.34,1528449,0.0000,1.0
2020-11-03,356.6916,373.17,355.12,370.53,370.53,1716235,0.0000,1.0
2020-11-02,348.12,354.47,345.18,350.95,350.95,1342831,0.0000,1.0
2020-10-30,348.05,352.72,338.27,342.08,342.08,1750141,0.0000,1.0
2020-10-29,339.02,358.19,338.8036,353.26,353.26,1608109,0.0000,1.0
2020-10-28,336.93,344.54,333.31,338.9,338.9,1639242,0.0000,1.0
2020-10-27,348.53,349.67,342.54,343.83,343.83,1075819,0.0000,1.0
2020-10-26,350.36,353.47,343.3,347.63,347.63,1236579,0.0000,1.0
2020-10-23,360.0,362.5,350.315,353.92,353.92,1231672,0.0000,1.0
2020-10-22,360.36,363.33,353.08,358.01,358.01,2233307,0.0000,1.0
2020-10-21,363.08,371.0,362.015,366.62,366.62,1681056,0.0000,1.0
2020-10-20,366.0,368.51,362.5,363.57,363.57,933281,0.0000,1.0
2020-10-19,367.5,369.6603,362.01,363.57,363.57,1358975,0.0000,1.0
2020-10-16,376.5,376.5,364.65,364.96,364.96,1591534,0.0000,1.0
2020-10-15,362.77,376.3,358.92,375.49,375.49,1683004,0.0000,1.0
2020-10-14,375.32,381.96,370.21,374.235,374.235,1414518,0.0000,1.0
2020-10-13,372.0,378.5,367.4,374.19,374.19,1229284,0.0000,1.0
2020-10-12,369.43,373.39,367.13,370.11,370.11,1454858,0.0000,1.0
2020-10-09,360.9,364.66,359.17,362.71,362.71,1196062,0.0000,1.0
2020-10-08,348.37,355.67,347.0,355.43,355.43,1193015,0.0000,1.0
2020-10-07,347.4,351.5,343.51,345.77,345.77,1108422,0.0000,1.0
2020-10-06,340.96,351.08,339.41,340.98,340.98,1425129,0.0000,1.0
2020-10-05,333.0,343.05,332.61,342.23,342.23,1540746,0.0000,1.0
2020-10-02,329.36,335.8599,328.56,328.71,328.71,1196017,0.0000,1.0
2020-10-01,339.14,339.25,333.14,339.13,339.13,1693487,0.0000,1.0
2020-09-30,335.24,338.23,330.2,331.75,331.75,1989476,0.0000,1.0
2020-09-29,333.9275,342.56,333.785,337.71,337.71,1805651,1.3000,1.0
2020-09-28,331.42,337.85,328.7,336.61,335.319203268,1792770,0.0000,1.0
2020-09-25,324.72,331.89,322.0,330.27,329.003515236,1551210,0.0000,1.0
2020-09-24,314.02,334.18,314.02,327.17,325.91540279,2206767,0.0000,1.0
2020-09-23,322.38,327.59,315.8603,317.02,315.804324946,2228904,0.0000,1.0
2020-09-22,318.33,319.73,310.1921,318.69,317.467921005,1507635,0.0000,1.0
2020-09-21,305.08,317.82,300.695,314.96,313.752224418,1880324,0.0000,1.0
2020-09-18,308.26,310.83,301.89,307.21,306.031943306,2660415,0.0000,1.0
2020-09-17,296.17,308.59,296.17,305.89,304.717005103,1913606,0.0000,1.0
2020-09-16,311.67,314.38,305.863,306.6,305.42428247,1415901,0.0000,1.0
2020-09-15,310.6094,312.817,303.0,308.93,307.74534763,1714344,0.0000,1.0
2020-09-14,301.77,308.62,299.63,305.42,304.24880741,1954683,0.0000,1.0
2020-09-11,300.54,303.336,292.28,293.99,292.862637975,1727381,0.0000,1.0
2020-09-10,303.76,305.7104,295.78,297.51,296.369139848,2085604,0.0000,1.0
2020-09-09,310.96,311.81,300.335,300.91,299.756101885,3086742,0.0000,1.0
2020-09-08,310.96,316.46,302.19,302.72,301.559161087,3113834,0.0000,1.0
2020-09-04,339.0,339.9,319.69,333.12,331.842586354,2471089,0.0000,1.0
2020-09-03,357.295,357.295,339.395,341.53,340.220336568,2556555,0.0000,1.0
2020-09-02,345.98,365.141,344.25,362.7,361.309156072,2763134,0.0000,1.0
2020-09-01,339.55,346.5,337.568,340.56,339.254056223,2087778,0.0000,1.0
2020-08-31,348.55,349.145,336.24,336.34,335.050238636,2533407,0.0000,1.0
2020-08-28,342.66,351.99,341.45,350.78,349.434865638,1596368,0.0000,1.0
2020-08-27,354.86,354.86,338.59,341.45,340.140643344,1902198,0.0000,1.0
2020-08-26,352.55,354.0,348.07,351.8,350.450954249,1194983,0.0000,1.0
2020-08-25,353.05,356.3,350.5,352.5,351.148269963,1310322,0.0000,1.0
2020-08-24,359.4,360.67,347.32,351.02,349.673945311,1682341,0.0000,1.0
2020-08-21,355.92,356.71,350.33,353.44,352.084665349,2555541,0.0000,1.0
2020-08-20,360.1,363.4,355.27,358.5,357.125261792,2214003,0.0000,1.0
2020-08-19,374.03,376.19,368.26,372.19,370.762764815,1074829,0.0000,1.0
2020-08-18,381.95,382.7021,372.93,374.57,373.133638241,1047285,0.0000,1.0
2020-08-17,376.55,384.17,372.81,379.08,377.626343766,1408441,0.0000,1.0
2020-08-14,379.0,384.99,373.0,373.64,372.207204507,1344708,0.0000,1.0
2020-08-13,380.01,382.45,374.3801,377.02,375.574243238,1076446,0.0000,1.0
2020-08-12,372.18,383.28,369.93,381.52,380.05698711,1223566,0.0000,1.0
2020-08-11,378.86,380.87,367.39,369.01,367.594959146,1110113,0.0000,1.0
2020-08-10,372.44,376.82,369.15,375.76,374.319074954,929245,0.0000,1.0
2020-08-07,378.38,381.69,366.45,372.44,371.011806141,1385459,0.0000,1.0
2020-08-06,377.0,379.6,370.79,377.81,376.361213829,1699860,0.0000,1.0
2020-08-05,384.58,387.09,382.28,383.47,381.999509454,846470,0.0000,1.0
2020-08-04,382.18,385.75,380.22,384.96,383.483795758,1148235,0.0000,1.0
2020-08-03,380.8,387.695,379.18,381.41,379.947408926,1517996,0.0000,1.0
2020-07-31,379.56,380.16,369.29,377.16,375.71370638,2040329,0.0000,1.0
2020-07-30,367.775,381.48,367.08,378.54,377.088414501,2567844,0.0000,1.0
2020-07-29,352.1,361.84,349.0,360.83,359.446326952,2167323,0.0000,1.0
