timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-03,37.05,38.18,36.82,37.74,37.74,341763,0.0000,1.0
2020-12-02,36.21,37.12,35.79,36.91,36.91,405694,0.0000,1.0
2020-12-01,37.7008,37.7008,35.67,36.27,36.27,719849,0.0000,1.0
2020-11-30,37.13,37.43,35.5,35.64,35.64,556442,0.0000,1.0
2020-11-27,37.77,37.9799,37.055,37.56,37.56,125640,0.0000,1.0
2020-11-25,38.48,38.74,37.55,37.92,37.92,350390,0.1875,1.0
2020-11-24,38.04,38.96,37.5,38.86,38.6687974808,569002,0.0000,1.0
2020-11-23,37.7559,37.92,36.56,37.52,37.3353906711,318283,0.0000,1.0
2020-11-20,36.89,36.89,35.91,36.73,36.5492777012,308746,0.0000,1.0
2020-11-19,36.61,37.28,36.0029,36.8,36.6189332809,304474,0.0000,1.0
2020-11-18,37.5,38.23,36.77,36.79,36.6089824838,325596,0.0000,1.0
2020-11-17,37.07,37.71,36.19,37.51,37.325439874,438426,0.0000,1.0
2020-11-16,36.49,37.72,35.92,37.44,37.2557842944,816832,0.0000,1.0
2020-11-13,34.49,35.56,34.13,35.39,35.2158708916,296022,0.0000,1.0
2020-11-12,34.87,35.145,33.61,34.09,33.9222672702,312355,0.0000,1.0
2020-11-11,35.47,35.98,33.93,35.37,35.1959692974,410090,0.0000,1.0
2020-11-10,35.73,36.3193,35.32,35.52,35.3452312537,529984,0.0000,1.0
2020-11-09,34.59,36.4,34.47,35.5,35.3253296595,833689,0.0000,1.0
2020-11-06,32.26,32.87,31.703,31.94,31.7828458965,259123,0.0000,1.0
2020-11-05,31.6,32.76,31.6,32.33,32.1709269829,265424,0.0000,1.0
2020-11-04,31.71,32.27,30.67,31.51,31.3549616217,278820,0.0000,1.0
2020-11-03,32.53,32.7,31.73,32.065,31.9072308601,534601,0.0000,1.0
2020-11-02,31.04,32.14,30.57,31.83,31.6733871285,505126,0.0000,1.0
2020-10-30,31.86,32.35,30.22,30.47,30.3200787247,705120,0.0000,1.0
2020-10-29,32.0,32.41,31.46,31.97,31.8126982877,584404,0.0000,1.0
2020-10-28,32.31,33.15,32.03,32.09,31.9321078528,837508,0.0000,1.0
2020-10-27,33.69,33.85,32.7,33.07,32.9072859673,572796,0.0000,1.0
2020-10-26,34.16,34.59,33.31,33.84,33.673497343,631783,0.0000,1.0
2020-10-23,34.08,34.85,33.4027,34.81,34.6387246605,478343,0.0000,1.0
2020-10-22,33.81,33.81,33.04,33.62,33.4545798071,592653,0.0000,1.0
2020-10-21,34.66,34.75,33.83,33.87,33.7033497343,425422,0.0000,1.0
2020-10-20,34.59,35.63,33.9943,34.59,34.4198071246,854721,0.0000,1.0
2020-10-19,33.57,34.9,33.4,34.16,33.9919228498,919114,0.0000,1.0
2020-10-16,32.6,33.43,32.4136,33.3,33.1361543003,858254,0.0000,1.0
2020-10-15,31.37,32.83,31.01,32.73,32.5689588664,536902,0.0000,1.0
2020-10-14,32.34,33.1,31.84,31.87,31.7131903169,453833,0.0000,1.0
2020-10-13,31.87,32.21,31.14,32.01,31.8525014761,568494,0.0000,1.0
2020-10-12,31.81,32.3,31.5901,31.96,31.8027474907,447899,0.0000,1.0
2020-10-09,32.11,32.3647,31.31,31.75,31.5937807518,546790,0.0000,1.0
2020-10-08,32.96,33.16,31.3,31.7,31.5440267664,943579,0.0000,1.0
2020-10-07,32.32,33.32,32.02,32.27,32.1112222004,664533,0.0000,1.0
2020-10-06,32.59,33.195,31.88,31.94,31.7828458965,609922,0.0000,1.0
2020-10-05,33.99,34.09,31.8,32.285,32.126148396,1306525,0.0000,1.0
2020-10-02,30.88,33.86,30.63,33.65,33.4844321984,1006717,0.0000,1.0
2020-10-01,30.26,32.105,30.26,31.9,31.7430427081,1074265,0.0000,1.0
2020-09-30,30.46,31.57,29.99,30.16,30.011604015,914537,0.0000,1.0
2020-09-29,30.21,30.535,29.45,30.43,30.2802755363,880300,0.0000,1.0
2020-09-28,30.78,31.1,30.01,30.34,30.1907183625,787412,0.0000,1.0
2020-09-25,29.78,30.55,29.78,30.25,30.1011611887,941024,0.0000,1.0
2020-09-24,29.66,30.705,29.22,30.33,30.1807675654,1085052,0.0000,1.0
2020-09-23,31.48,32.15,29.71,29.86,29.7130801023,1240941,0.0000,1.0
