timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-03,214.61,216.3757,213.65,214.24,214.24,22154125,0.0000,1.0
2020-12-02,214.88,215.47,212.8,215.37,215.37,23724509,0.0000,1.0
2020-12-01,214.51,217.32,213.35,216.21,216.21,30498026,0.0000,1.0
2020-11-30,214.1,214.76,210.835,214.07,214.07,33064753,0.0000,1.0
2020-11-27,214.85,216.27,214.04,215.23,215.23,14512213,0.0000,1.0
2020-11-25,215.11,215.29,212.46,213.87,213.87,21012887,0.0000,1.0
2020-11-24,209.59,214.25,208.86,213.86,213.86,33830438,0.0000,1.0
2020-11-23,210.95,212.29,208.16,210.11,210.11,25683507,0.0000,1.0
2020-11-20,212.2,213.285,210.0,210.39,210.39,22843119,0.0000,1.0
2020-11-19,211.38,213.03,209.93,212.42,212.42,24792746,0.0000,1.0
2020-11-18,213.65,215.17,210.93,211.08,211.08,28372789,0.5600,1.0
2020-11-17,216.1,217.68,214.08,214.46,213.892538273,24154112,0.0000,1.0
2020-11-16,214.87,217.74,214.52,217.23,216.655208845,24953344,0.0000,1.0
2020-11-13,216.36,217.42,214.16,216.51,215.937113967,18630307,0.0000,1.0
2020-11-12,217.21,219.11,214.46,215.44,214.86994519,21616115,0.0000,1.0
2020-11-11,212.39,218.04,212.2,216.55,215.977008127,29440788,0.0000,1.0
2020-11-10,214.5,216.5,209.72,211.01,210.451666982,44045120,0.0000,1.0
2020-11-09,224.435,228.12,217.88,218.39,217.812139482,44394950,0.0000,1.0
2020-11-06,222.26,224.36,218.03,223.72,223.128036288,25231895,0.0000,1.0
2020-11-05,222.04,224.12,221.15,223.29,222.699174069,36080137,0.0000,1.0
2020-11-04,214.02,218.32,212.4185,216.39,215.817431487,42311777,0.0000,1.0
2020-11-03,203.89,208.12,203.12,206.43,205.883785674,27512030,0.0000,1.0
2020-11-02,204.29,205.28,200.12,202.33,201.794634285,30842163,0.0000,1.0
2020-10-30,203.5,204.29,199.62,202.47,201.934263844,36980111,0.0000,1.0
2020-10-29,204.07,207.36,203.37,204.72,204.178310338,31432563,0.0000,1.0
2020-10-28,207.67,208.84,202.1,202.68,202.143708184,51195593,0.0000,1.0
2020-10-27,211.59,214.67,210.329,213.25,212.685739936,36700325,0.0000,1.0
2020-10-26,213.85,216.3399,208.1,210.08,209.524127764,37111561,0.0000,1.0
2020-10-23,215.03,216.28,213.16,216.23,215.657854848,18879608,0.0000,1.0
2020-10-22,213.93,216.055,211.7,214.89,214.321400491,22351450,0.0000,1.0
2020-10-21,213.12,216.92,213.12,214.8,214.231638632,22724906,0.0000,1.0
2020-10-20,215.8,217.37,213.0901,214.65,214.082035532,22753511,0.0000,1.0
2020-10-19,220.415,222.3,213.72,214.22,213.653173313,27625841,0.0000,1.0
2020-10-16,220.15,222.29,219.32,219.66,219.078779059,26057882,0.0000,1.0
2020-10-15,217.1,220.36,216.01,219.66,219.078779059,22733064,0.0000,1.0
2020-10-14,223.0,224.22,219.13,220.86,220.275603856,23451713,0.0000,1.0
2020-10-13,222.72,225.21,220.43,222.86,222.27031185,28950843,0.0000,1.0
2020-10-12,218.79,223.86,216.81,221.4,220.814175014,40461368,0.0000,1.0
2020-10-09,211.23,215.86,211.23,215.81,215.238966169,26458047,0.0000,1.0
2020-10-08,210.51,211.19,208.32,210.58,210.022804763,19925837,0.0000,1.0
2020-10-07,207.06,210.11,206.72,209.83,209.274789265,25681054,0.0000,1.0
2020-10-06,208.82,210.18,204.82,205.91,205.365161595,28554261,0.0000,1.0
2020-10-05,207.22,210.41,206.98,210.38,209.823333963,21331561,0.0000,1.0
2020-10-02,208.0,210.99,205.54,206.19,205.644420714,33154781,0.0000,1.0
2020-10-01,213.49,213.99,211.32,212.46,211.897830278,27158418,0.0000,1.0
2020-09-30,207.73,211.98,206.54,210.33,209.773466263,33829088,0.0000,1.0
2020-09-29,209.35,210.07,206.81,207.26,206.711589492,24464472,0.0000,1.0
2020-09-28,210.88,212.57,208.06,209.44,208.885821206,32004936,0.0000,1.0
2020-09-25,203.55,209.04,202.54,207.82,207.27010773,29437312,0.0000,1.0
2020-09-24,199.85,205.57,199.2,203.19,202.652358722,31202493,0.0000,1.0
2020-09-23,207.9,208.1,200.03,200.59,200.059238329,30803780,0.0000,1.0
2020-09-22,205.06,208.1,202.075,207.42,206.871166131,33517065,0.0000,1.0
2020-09-21,197.19,202.71,196.38,202.54,202.004078624,39839657,0.0000,1.0
2020-09-18,202.8,203.65,196.25,200.39,199.85976753,55225326,0.0000,1.0
2020-09-17,200.05,204.33,199.96,202.91,202.373099603,34011257,0.0000,1.0
2020-09-16,210.62,210.65,204.64,205.05,204.507437157,26372464,0.0000,1.0
2020-09-15,208.42,209.78,206.93,208.78,208.227567568,21823942,0.0000,1.0
2020-09-14,204.24,209.2,204.03,205.41,204.866484596,30375768,0.0000,1.0
2020-09-11,207.2,208.63,201.24,204.03,203.49013608,33620073,0.0000,1.0
2020-09-10,213.4,214.74,204.11,205.37,204.826590437,35461514,0.0000,1.0
2020-09-09,207.6,214.8399,206.7,211.29,210.730926101,45678986,0.0000,1.0
2020-09-08,206.5,210.03,202.2,202.66,202.123761104,52924330,0.0000,1.0
2020-09-04,215.1,218.3599,205.19,214.25,213.683093933,59664072,0.0000,1.0
2020-09-03,229.27,229.31,214.9602,217.3,216.725023625,58400288,0.0000,1.0
2020-09-02,227.97,232.86,227.35,231.65,231.037053487,34080839,0.0000,1.0
2020-09-01,225.51,227.45,224.43,227.27,226.668642979,25791235,0.0000,1.0
2020-08-31,227.0,228.7,224.31,225.53,224.933247023,28774156,0.0000,1.0
2020-08-28,228.18,230.644,226.58,228.91,228.304303534,26292896,0.0000,1.0
2020-08-27,222.89,231.15,219.4,226.58,225.98046872,57602195,0.0000,1.0
2020-08-26,217.88,222.09,217.36,221.15,220.564836515,39600828,0.0000,1.0
2020-08-25,213.1,216.61,213.1,216.47,215.897219807,23043696,0.0000,1.0
2020-08-24,214.79,215.52,212.43,213.69,213.124575695,25460147,0.0000,1.0
2020-08-21,213.86,216.25,212.85,213.02,212.456348516,36249319,0.0000,1.0
2020-08-20,209.54,215.0,208.91,214.58,214.012220752,26981478,0.0000,1.0
2020-08-19,211.49,212.1,209.25,209.7,209.145133245,27627561,0.5100,1.0
2020-08-18,210.53,212.36,209.21,211.49,210.418649113,21336167,0.0000,1.0
2020-08-17,209.6,211.1874,208.915,210.28,209.214778644,20063496,0.0000,1.0
2020-08-14,208.76,209.59,207.51,208.9,207.841769349,17958936,0.0000,1.0
2020-08-13,209.44,211.35,208.15,208.7,207.642782495,22588870,0.0000,1.0
2020-08-12,205.29,210.28,204.75,209.19,208.130300288,28041364,0.0000,1.0
2020-08-11,207.155,207.65,203.14,203.38,202.34973217,36446459,0.0000,1.0
2020-08-10,211.67,211.88,206.35,208.25,207.195062073,36716462,0.0000,1.0
2020-08-07,214.85,215.7,210.93,212.48,211.403634042,27820421,0.0000,1.0
