timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-03,1146.9,1156.38,1129.24,1132.0,1132.0,111849,0.0000,1.0
2020-12-02,1157.71,1161.42,1132.98,1139.75,1139.75,92984,0.0000,1.0
2020-12-01,1156.8,1176.59,1151.33,1160.09,1160.09,202914,0.0000,1.0
2020-11-30,1123.49,1151.55,1123.49,1150.04,1150.04,177359,0.0000,1.0
2020-11-27,1125.95,1132.065,1120.415,1126.68,1126.68,55947,0.0000,1.0
2020-11-25,1130.68,1134.12,1111.7,1125.16,1125.16,132220,0.0000,1.0
2020-11-24,1147.93,1147.93,1123.53,1126.96,1126.96,156991,0.0000,1.0
2020-11-23,1148.79,1155.425,1130.69,1138.68,1138.68,99164,0.0000,1.0
2020-11-20,1149.28,1160.49,1140.63,1147.6,1147.6,222998,0.0000,1.0
2020-11-19,1142.99,1154.2,1141.745,1147.34,1147.34,101043,0.0000,1.0
2020-11-18,1190.7,1190.7,1139.76,1144.81,1144.81,176626,0.0000,1.0
2020-11-17,1178.25,1196.62,1171.92,1193.36,1193.36,135568,0.0000,1.0
2020-11-16,1186.81,1188.35,1168.37,1187.93,1187.93,117526,0.0000,1.0
2020-11-13,1158.75,1184.89,1150.02,1181.38,1181.38,127955,0.0000,1.0
2020-11-12,1137.56,1163.435,1132.695,1157.87,1157.87,130580,0.0000,1.0
2020-11-11,1138.06,1149.98,1128.24,1134.4,1134.4,186567,0.0000,1.0
2020-11-10,1182.11,1182.88,1122.8,1125.46,1125.46,225221,0.0000,1.0
2020-11-09,1182.48,1215.43,1174.22,1179.58,1179.58,186038,0.0000,1.0
2020-11-06,1205.75,1228.41,1156.61,1181.11,1181.11,229800,0.0000,1.0
2020-11-05,1102.22,1110.06,1089.35,1103.74,1103.74,169247,0.0000,1.0
2020-11-04,1082.17,1098.915,1075.655,1080.23,1080.23,128850,0.0000,1.0
2020-11-03,1055.31,1080.94,1055.31,1065.5,1065.5,97308,0.0000,1.0
2020-11-02,1018.88,1048.91,1017.67,1043.25,1043.25,154787,0.0000,1.0
2020-10-30,995.86,1007.155,985.05,997.91,997.91,91239,0.0000,1.0
2020-10-29,1011.01,1017.12,999.52,1003.79,1003.79,113593,0.0000,1.0
2020-10-28,1037.67,1043.87,1008.38,1009.26,1009.26,111460,0.0000,1.0
2020-10-27,1050.87,1064.06,1045.29,1052.58,1052.58,131104,0.0000,1.0
2020-10-26,1046.24,1054.5,1033.68,1045.29,1045.29,68085,0.0000,1.0
2020-10-23,1067.99,1078.98,1050.24,1053.2,1053.2,96742,0.0000,1.0
2020-10-22,1037.67,1068.44,1037.67,1063.23,1063.23,115160,0.0000,1.0
2020-10-21,1034.12,1043.01,1030.2828,1031.94,1031.94,58530,0.0000,1.0
