timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-03,138.09,138.35,135.54,137.34,137.34,7569243,0.0000,1.0
2020-12-02,139.37,139.94,137.485,138.36,138.36,6963009,0.0000,1.0
2020-12-01,139.16,139.54,138.16,139.37,139.37,7113152,0.0000,1.0
2020-11-30,138.0,139.2,136.74,138.87,138.87,11640396,0.0000,1.0
2020-11-27,138.59,138.89,137.53,138.61,138.61,4252166,0.0000,1.0
2020-11-25,138.16,139.39,138.04,138.68,138.68,8411414,0.0000,1.0
2020-11-24,138.83,139.84,138.07,138.31,138.31,7085825,0.0000,1.0
2020-11-23,139.32,139.95,137.8627,138.76,138.76,4771187,0.0000,1.0
2020-11-20,139.53,140.35,138.63,139.3,139.3,4727377,0.0000,1.0
2020-11-19,139.87,140.115,138.447,139.53,139.53,5284085,0.0000,1.0
2020-11-18,141.99,142.1,139.66,139.7,139.7,6097357,0.0000,1.0
2020-11-17,141.89,143.47,141.75,141.88,141.88,6396807,0.0000,1.0
2020-11-16,144.78,144.78,141.265,142.43,142.43,7976828,0.0000,1.0
2020-11-13,142.21,144.48,141.88,144.28,144.28,6467021,0.0000,1.0
2020-11-12,142.295,142.55,141.07,142.15,142.15,5632667,0.0000,1.0
2020-11-11,141.85,143.0,140.65,142.07,142.07,5554342,0.0000,1.0
2020-11-10,138.1,140.6206,137.15,140.26,140.26,7853955,0.0000,1.0
2020-11-09,146.15,146.92,137.6,137.99,137.99,12664662,0.0000,1.0
2020-11-06,142.67,144.07,142.38,143.23,143.23,4702528,0.0000,1.0
2020-11-05,142.44,143.53,141.78,142.38,142.38,5673138,0.0000,1.0
2020-11-04,140.46,143.0,140.27,140.64,140.64,5820621,0.0000,1.0
2020-11-03,139.32,142.66,139.32,141.22,141.22,6244208,0.0000,1.0
2020-11-02,138.51,140.0,137.4359,138.5,138.5,6682895,0.0000,1.0
2020-10-30,137.18,137.99,134.68,137.1,137.1,6422103,0.0000,1.0
2020-10-29,137.35,139.09,135.7988,137.57,137.57,5476878,0.0000,1.0
2020-10-28,140.45,140.935,137.31,137.66,137.66,8192153,0.0000,1.0
2020-10-27,141.94,143.34,141.65,142.36,142.36,6806665,0.0000,1.0
2020-10-26,141.5,142.05,140.01,141.3,141.3,5315562,0.0000,1.0
2020-10-23,141.76,142.88,141.76,142.38,142.38,4278287,0.0000,1.0
2020-10-22,141.49,142.75,141.08,141.45,141.45,4503323,0.7907,1.0
2020-10-21,142.49,144.3368,142.47,143.25,142.453689415,5649652,0.0000,1.0
