timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-03,97.26,97.96,96.59,97.1,97.1,3037951,0.0000,1.0
2020-12-02,99.82,100.15,97.46,97.52,97.52,2791618,0.0000,1.0
2020-12-01,100.84,101.91,100.14,100.2,100.2,3420073,0.0000,1.0
2020-11-30,100.47,101.01,99.09,100.05,100.05,3730203,0.0000,1.0
2020-11-27,99.45,100.84,98.8,100.6,100.6,1273086,0.0000,1.0
2020-11-25,99.24,99.5318,98.5,99.01,99.01,2028691,0.0000,1.0
2020-11-24,100.38,100.73,98.53,98.81,98.81,2654817,0.0000,1.0
2020-11-23,99.96,100.875,99.49,99.56,99.56,2537808,0.0000,1.0
2020-11-20,100.05,100.82,98.62,100.27,100.27,2530477,0.0000,1.0
2020-11-19,101.02,101.6,99.705,99.99,99.99,2276476,0.0000,1.0
2020-11-18,104.18,104.645,101.37,101.4,101.4,2012499,0.0000,1.0
2020-11-17,102.63,104.372,101.33,104.2,104.2,1982601,0.0000,1.0
2020-11-16,104.46,104.68,100.85,103.26,103.26,2061581,0.0000,1.0
2020-11-13,103.17,103.98,102.6,103.53,103.53,2470280,0.0000,1.0
2020-11-12,102.62,103.69,101.5,102.62,102.62,2968330,0.0000,1.0
2020-11-11,100.82,102.32,99.65,102.02,102.02,3898001,0.0000,1.0
2020-11-10,100.0,100.56,98.135,99.94,99.94,5771054,0.0000,1.0
2020-11-09,111.56,112.37,99.3,99.61,99.61,5949730,0.0000,1.0
2020-11-06,105.57,106.4,104.5,104.89,104.89,1765170,0.0000,1.0
2020-11-05,106.7,106.88,105.29,105.88,105.88,1593956,0.0000,1.0
2020-11-04,104.8,107.63,104.29,105.81,105.81,1958828,0.0000,1.0
2020-11-03,102.66,105.16,102.27,104.39,104.39,1521546,0.0000,1.0
2020-11-02,100.72,102.28,100.36,101.87,101.87,1830212,0.0000,1.0
2020-10-30,99.47,100.39,97.99,99.2,99.2,2273762,0.0000,1.0
2020-10-29,97.3,101.1,96.57,100.18,100.18,2234359,0.0000,1.0
2020-10-28,97.44,99.14,96.87,97.51,97.51,2666756,0.0000,1.0
2020-10-27,100.39,101.35,99.12,99.14,99.14,1797939,0.0000,1.0
2020-10-26,101.95,102.13,99.9,100.47,100.47,1927421,0.0000,1.0
2020-10-23,103.72,104.12,102.88,103.24,103.24,1403169,0.0000,1.0
2020-10-22,102.93,103.83,102.615,102.8,102.8,1639821,0.0000,1.0
2020-10-21,102.91,104.54,102.27,102.65,102.65,1922213,0.0000,1.0
2020-10-20,104.93,105.08,102.9101,103.53,103.53,1780303,0.0000,1.0
2020-10-19,105.12,105.24,102.9,103.02,103.02,1938911,0.0000,1.0
2020-10-16,104.74,105.49,104.2,104.26,104.26,2167875,0.0000,1.0
2020-10-15,103.24,105.9,103.08,104.98,104.98,1280525,0.0000,1.0
2020-10-14,106.05,106.47,103.87,104.03,104.03,1668026,0.0000,1.0
2020-10-13,107.09,107.88,106.095,106.63,106.63,2096825,0.0000,1.0
2020-10-12,107.8,108.8517,106.14,108.29,108.29,1302918,0.0000,1.0
2020-10-09,107.35,107.95,106.28,106.91,106.91,1918925,0.0000,1.0
2020-10-08,105.83,109.11,105.45,106.84,106.84,2382507,0.0000,1.0
2020-10-07,105.09,106.38,103.92,105.76,105.76,2056761,0.0000,1.0
