timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-03,20.84,21.52,20.78,21.13,21.13,655444,0.0000,1.0
2020-12-02,20.64,21.0,20.47,20.88,20.88,424945,0.0000,1.0
2020-12-01,21.16,21.29,20.37,20.78,20.78,640693,0.0000,1.0
2020-11-30,20.46,20.61,20.2,20.28,20.28,1015629,0.0000,1.0
2020-11-27,20.3,20.7,20.14,20.55,20.55,307435,0.0000,1.0
2020-11-25,20.3,20.44,20.18,20.21,20.21,778317,0.0000,1.0
2020-11-24,20.39,20.69,20.18,20.42,20.42,746053,0.0000,1.0
2020-11-23,20.44,20.44,20.1,20.33,20.33,942947,0.0000,1.0
2020-11-20,20.04,20.41,20.02,20.27,20.27,448696,0.0000,1.0
2020-11-19,20.05,20.28,19.93,20.22,20.22,273056,0.0000,1.0
2020-11-18,20.57,20.74,20.15,20.15,20.15,433449,0.0000,1.0
2020-11-17,20.04,20.55,19.9,20.51,20.51,561155,0.0000,1.0
2020-11-16,20.25,20.5866,19.9,20.23,20.23,714380,0.0000,1.0
2020-11-13,19.91,20.2,19.71,20.0,20.0,746801,0.0000,1.0
2020-11-12,19.81,20.12,19.52,19.74,19.74,836986,0.0000,1.0
2020-11-11,19.5,20.08,19.3,19.93,19.93,1408704,0.0000,1.0
2020-11-10,19.2,19.65,18.96,19.5,19.5,956346,0.0000,1.0
2020-11-09,19.55,19.98,18.92,19.07,19.07,1193164,0.0000,1.0
2020-11-06,18.46,19.08,18.25,18.99,18.99,689805,0.0000,1.0
2020-11-05,18.14,18.515,17.92,18.34,18.34,980204,0.0000,1.0
2020-11-04,18.15,18.79,17.705,17.935,17.935,1489220,0.0000,1.0
2020-11-03,17.63,18.58,16.62,18.01,18.01,2729317,0.0000,1.0
2020-11-02,18.15,18.67,18.1,18.59,18.59,1063122,0.0000,1.0
2020-10-30,17.93,18.04,17.55,17.92,17.92,659204,0.0000,1.0
2020-10-29,17.5,18.08,17.05,17.95,17.95,888787,0.0000,1.0
2020-10-28,17.91,17.98,17.265,17.64,17.64,1225079,0.0000,1.0
2020-10-27,17.05,17.81,17.01,17.51,17.51,1338176,0.0000,1.0
2020-10-26,17.3,17.47,16.93,17.11,17.11,547084,0.0000,1.0
2020-10-23,17.45,17.505,17.195,17.47,17.47,600684,0.0000,1.0
2020-10-22,17.26,17.52,17.13,17.39,17.39,329090,0.0000,1.0
2020-10-21,17.1,17.31,16.92,17.13,17.13,535351,0.0000,1.0
2020-10-20,17.0,17.24,16.83,17.01,17.01,703288,0.0000,1.0
2020-10-19,17.23,17.625,16.87,16.96,16.96,275047,0.0000,1.0
2020-10-16,17.66,17.75,17.48,17.5,17.5,546075,0.0000,1.0
2020-10-15,17.43,17.7647,17.26,17.69,17.69,370595,0.0000,1.0
2020-10-14,17.65,17.92,17.55,17.56,17.56,402685,0.0000,1.0
2020-10-13,17.38,17.72,17.3,17.64,17.64,1000149,0.0000,1.0
2020-10-12,17.76,17.93,17.51,17.56,17.56,529207,0.0000,1.0
2020-10-09,17.87,17.93,17.47,17.72,17.72,511102,0.0000,1.0
2020-10-08,17.52,17.65,17.39,17.64,17.64,381414,0.0000,1.0
2020-10-07,17.58,17.62,17.2,17.4,17.4,842222,0.0000,1.0
2020-10-06,17.83,18.05,17.21,17.24,17.24,1461183,0.0000,1.0
2020-10-05,17.71,17.83,17.56,17.74,17.74,614147,0.0000,1.0
2020-10-02,17.12,17.62,16.89,17.55,17.55,1298718,0.0000,1.0
2020-10-01,17.28,17.56,17.16,17.54,17.54,860618,0.0000,1.0
2020-09-30,17.05,17.24,16.97,17.15,17.15,1133676,0.0000,1.0
2020-09-29,16.71,17.1,16.7,17.06,17.06,1055091,0.0000,1.0
2020-09-28,16.35,16.925,16.14,16.8,16.8,1291930,0.0000,1.0
2020-09-25,15.67,16.2,15.6,16.12,16.12,1176246,0.0000,1.0
2020-09-24,15.08,15.82,15.04,15.78,15.78,1801550,0.0000,1.0
2020-09-23,15.35,15.445,15.02,15.02,15.02,815699,0.0000,1.0
2020-09-22,15.64,15.65,15.26,15.41,15.41,5526567,0.0000,1.0
2020-09-21,15.57,15.6651,15.09,15.55,15.55,5327601,0.0000,1.0
2020-09-18,16.26,17.66,15.76,16.08,16.08,23222938,0.0000,1.0
2020-09-17,16.94,17.07,16.06,16.12,16.12,2869954,0.0000,1.0
