timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-03,196.5,202.95,196.0,197.21,197.21,2512144,0.0000,1.0
2020-12-02,192.33,196.52,189.41,195.03,195.03,1940871,0.0000,1.0
2020-12-01,198.66,198.81,192.0,195.19,195.19,2515516,0.0000,1.0
2020-11-30,198.0,199.99,190.2497,198.77,198.77,3108386,0.0000,1.0
2020-11-27,192.0,197.445,191.01,196.45,196.45,1758181,0.0000,1.0
2020-11-25,188.28,190.73,186.58,190.59,190.59,2114700,0.0000,1.0
2020-11-24,193.49,193.5,184.2,186.42,186.42,3728458,0.0000,1.0
2020-11-23,200.0,200.71,193.22,194.01,194.01,3105999,0.0000,1.0
2020-11-20,192.51,200.33,192.2348,200.0,200.0,4447664,0.0000,1.0
2020-11-19,182.0,192.77,182.0,191.19,191.19,4392775,0.0000,1.0
2020-11-18,180.03,184.88,177.3001,181.87,181.87,4238930,0.0000,1.0
2020-11-17,178.97,181.85,177.22,179.34,179.34,3696749,0.0000,1.0
2020-11-16,178.1,181.14,175.1,177.0,177.0,6252551,0.0000,1.0
2020-11-13,190.0,190.7,178.38,183.07,183.07,4602283,0.0000,1.0
2020-11-12,186.95,189.64,183.72,186.99,186.99,3768704,0.0000,1.0
2020-11-11,177.55,183.12,173.65,182.55,182.55,4549440,0.0000,1.0
2020-11-10,180.41,180.995,168.5,172.44,172.44,7792102,0.0000,1.0
2020-11-09,191.375,193.7035,175.4027,177.98,177.98,10987183,0.0000,1.0
2020-11-06,208.5,209.27,205.55,206.14,206.14,2418647,0.0000,1.0
2020-11-05,205.6,209.355,203.48,208.51,208.51,3273030,0.0000,1.0
2020-11-04,200.0,206.14,197.11,198.74,198.74,3985192,0.0000,1.0
2020-11-03,192.0,196.9212,190.29,195.24,195.24,3380196,0.0000,1.0
2020-11-02,194.0,194.93,186.5,190.4,190.4,5631065,0.0000,1.0
2020-10-30,215.99,215.99,192.1401,196.46,196.46,6104372,0.0000,1.0
2020-10-29,217.59,228.06,213.75,217.89,217.89,11257905,0.0000,1.0
2020-10-28,220.13,231.0,220.1,226.94,226.94,4575932,0.0000,1.0
2020-10-27,214.69,224.8,214.5125,223.06,223.06,2835680,0.0000,1.0
2020-10-26,215.0,223.7,209.0,212.15,212.15,2214817,0.0000,1.0
2020-10-23,215.0,217.0,212.1,216.32,216.32,1347593,0.0000,1.0
2020-10-22,218.4,221.77,214.14,214.8,214.8,1549736,0.0000,1.0
2020-10-21,224.74,230.82,212.65,216.77,216.77,2223012,0.0000,1.0
2020-10-20,223.8,226.2664,221.29,222.23,222.23,1274862,0.0000,1.0
2020-10-19,222.71,228.02,221.5801,223.69,223.69,1669024,0.0000,1.0
2020-10-16,227.5,228.195,220.6311,221.29,221.29,1279276,0.0000,1.0
2020-10-15,225.34,228.7,220.01,224.35,224.35,2064501,0.0000,1.0
2020-10-14,233.53,234.1,226.71,230.45,230.45,2191358,0.0000,1.0
2020-10-13,220.98,236.8,219.42,231.8,231.8,4452762,0.0000,1.0
2020-10-12,221.9,224.74,217.73,218.0,218.0,1836997,0.0000,1.0
2020-10-09,223.88,224.78,217.87,218.11,218.11,1595383,0.0000,1.0
2020-10-08,225.28,225.8,219.64,221.48,221.48,1257669,0.0000,1.0
2020-10-07,222.15,230.8699,221.1897,222.85,222.85,2308662,0.0000,1.0
2020-10-06,223.29,225.7979,217.0,217.72,217.72,1753347,0.0000,1.0
2020-10-05,223.39,227.48,220.1418,225.21,225.21,1651238,0.0000,1.0
2020-10-02,215.0,227.9499,213.6201,221.6,221.6,2397777,0.0000,1.0
2020-10-01,222.86,223.74,218.0,220.68,220.68,1817752,0.0000,1.0
2020-09-30,217.27,224.9399,214.39,219.24,219.24,2632079,0.0000,1.0
2020-09-29,216.5,221.9354,213.01,217.34,217.34,2139291,0.0000,1.0
2020-09-28,222.03,222.03,212.01,215.09,215.09,2273166,0.0000,1.0
2020-09-25,207.99,219.42,206.5,219.0,219.0,3605820,0.0000,1.0
2020-09-24,203.11,208.22,199.61,203.95,203.95,1960284,0.0000,1.0
2020-09-23,214.0,218.54,207.265,209.22,209.22,2960410,0.0000,1.0
2020-09-22,205.49,216.04,201.68,215.28,215.28,3728440,0.0000,1.0
2020-09-21,203.0,204.79,193.54,202.66,202.66,2898639,0.0000,1.0
2020-09-18,200.89,209.44,198.8301,205.43,205.43,4441265,0.0000,1.0
2020-09-17,187.42,199.9799,186.1,199.28,199.28,3457401,0.0000,1.0
2020-09-16,195.0,198.87,189.78,193.52,193.52,2495181,0.0000,1.0
2020-09-15,195.6,197.81,193.33,194.71,194.71,1482022,0.0000,1.0
2020-09-14,192.52,198.25,191.54,193.36,193.36,1804525,0.0000,1.0
2020-09-11,199.41,200.5599,187.61,189.91,189.91,2675140,0.0000,1.0
2020-09-10,202.22,206.97,196.561,198.14,198.14,2045078,0.0000,1.0
2020-09-09,197.26,201.94,196.422,200.77,200.77,2253420,0.0000,1.0
2020-09-08,189.5,201.11,188.0,192.85,192.85,2927767,0.0000,1.0
2020-09-04,196.95,203.86,181.0,198.29,198.29,4980099,0.0000,1.0
2020-09-03,213.85,219.325,200.145,203.02,203.02,4899664,0.0000,1.0
2020-09-02,227.8,227.85,212.1,223.15,223.15,3060180,0.0000,1.0
2020-09-01,219.33,224.9199,216.78,224.2,224.2,3033200,0.0000,1.0
2020-08-31,210.33,216.35,209.5,215.69,215.69,3461565,0.0000,1.0
2020-08-28,217.5,218.2,207.36,208.57,208.57,3296347,0.0000,1.0
2020-08-27,212.45,218.635,208.15,215.77,215.77,2796869,0.0000,1.0
2020-08-26,210.81,214.89,207.636,214.57,214.57,3775486,0.0000,1.0
2020-08-25,209.74,215.0848,206.0,212.01,212.01,3268477,0.0000,1.0
2020-08-24,224.95,225.91,206.86,210.63,210.63,5660564,0.0000,1.0
2020-08-21,219.75,233.83,219.7,223.41,223.41,6260274,0.0000,1.0
2020-08-20,213.63,218.8,213.265,218.41,218.41,3057716,0.0000,1.0
2020-08-19,217.39,219.8093,210.2,216.51,216.51,4745944,0.0000,1.0
2020-08-18,211.51,218.609,207.525,217.28,217.28,6587738,0.0000,1.0
2020-08-17,196.55,206.33,190.62,205.02,205.02,6564450,0.0000,1.0
2020-08-14,192.5,194.6,186.12,187.5,187.5,3569745,0.0000,1.0
2020-08-13,187.81,198.2052,187.5,192.08,192.08,4345208,0.0000,1.0
2020-08-12,185.09,188.11,181.7517,185.09,185.09,4056470,0.0000,1.0
2020-08-11,190.0,191.1,182.51,183.75,183.75,6227776,0.0000,1.0
2020-08-10,197.01,197.35,185.0,193.74,193.74,9062182,0.0000,1.0
2020-08-07,215.0,215.99,191.0,193.72,193.72,9660976,0.0000,1.0
2020-08-06,216.0,219.75,209.0,212.5,212.5,10382122,0.0000,1.0
2020-08-05,238.17,239.0,199.46,202.01,202.01,27626071,0.0000,1.0
2020-08-04,240.0,253.0,235.5705,249.42,249.42,2923510,0.0000,1.0
2020-08-03,234.07,239.6,234.0,237.14,237.14,1749545,0.0000,1.0
2020-07-31,240.0,240.0,230.01,237.63,237.63,2480093,0.0000,1.0
2020-07-30,211.84,239.44,210.95,237.07,237.07,3985693,0.0000,1.0
2020-07-29,216.0,219.8,212.94,218.25,218.25,1862930,0.0000,1.0
2020-07-28,213.5,218.055,211.79,212.68,212.68,967866,0.0000,1.0
2020-07-27,215.0,217.815,208.75,212.75,212.75,1612887,0.0000,1.0
2020-07-24,214.71,218.24,206.22,212.85,212.85,1302629,0.0000,1.0
2020-07-23,226.84,230.2762,216.39,219.88,219.88,1296237,0.0000,1.0
2020-07-22,228.82,230.86,220.3501,223.98,223.98,1078810,0.0000,1.0
2020-07-21,230.34,231.45,224.05,226.66,226.66,1351007,0.0000,1.0
2020-07-20,220.21,228.09,218.94,227.27,227.27,1576902,0.0000,1.0
2020-07-17,218.56,222.38,216.34,217.77,217.77,1032900,0.0000,1.0
2020-07-16,219.06,220.99,213.21,218.56,218.56,1361000,0.0000,1.0
2020-07-15,209.56,222.69,203.34,221.83,221.83,2423400,0.0000,1.0
