timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-03,60.93,61.99,60.7,61.01,61.01,608165,0.0000,1.0
2020-12-02,60.73,61.27,60.12,60.67,60.67,890877,0.0000,1.0
2020-12-01,60.28,61.46,60.01,60.73,60.73,1777168,0.0000,1.0
2020-11-30,60.2,60.2646,59.0,59.87,59.87,1173183,0.0000,1.0
2020-11-27,59.77,60.485,59.44,60.45,60.45,562509,0.0000,1.0
2020-11-25,60.32,60.51,59.09,59.39,59.39,650253,0.0000,1.0
2020-11-24,59.68,61.09,59.24,60.59,60.59,1131678,0.0000,1.0
2020-11-23,59.0,59.51,58.12,58.96,58.96,691268,0.0000,1.0
2020-11-20,57.8,58.56,57.41,58.31,58.31,942610,0.0000,1.0
2020-11-19,56.52,57.8,56.01,57.74,57.74,689383,0.0000,1.0
2020-11-18,57.31,57.595,56.325,56.85,56.85,1424418,0.0000,1.0
2020-11-17,57.77,58.15,57.13,57.31,57.31,1169230,0.0000,1.0
2020-11-16,59.0,59.02,57.53,58.59,58.59,1078304,0.0000,1.0
2020-11-13,57.64,58.3,57.1,58.11,58.11,1011757,0.0000,1.0
2020-11-12,56.88,57.61,56.26,56.89,56.89,1564408,0.0000,1.0
2020-11-11,58.54,60.0,57.08,57.4,57.4,819981,0.0000,1.0
2020-11-10,57.66,58.34,56.94,58.25,58.25,850724,0.0000,1.0
2020-11-09,58.67,60.32,57.24,57.54,57.54,1598385,0.0000,1.0
2020-11-06,56.32,56.37,55.22,56.0,56.0,951381,0.0000,1.0
2020-11-05,54.73,58.25,53.4,55.83,55.83,1963011,0.0000,1.0
2020-11-04,52.08,53.25,50.51,53.03,53.03,1117736,0.0000,1.0
2020-11-03,51.65,53.18,51.49,52.68,52.68,1829758,0.0000,1.0
2020-11-02,49.13,50.79,48.58,50.74,50.74,1106299,0.0000,1.0
2020-10-30,48.38,49.57,47.19,48.13,48.13,1299214,0.0000,1.0
2020-10-29,47.74,48.975,47.24,48.48,48.48,876156,0.0000,1.0
2020-10-28,49.49,49.55,47.76,47.88,47.88,662406,0.0000,1.0
2020-10-27,49.56,51.1,49.23,50.66,50.66,1663615,0.0000,1.0
2020-10-26,49.27,49.67,48.51,49.23,49.23,764452,0.0000,1.0
2020-10-23,51.14,51.3099,49.37,50.08,50.08,1186560,0.0000,1.0
2020-10-22,51.01,51.79,50.01,50.94,50.94,1473452,0.0000,1.0
2020-10-21,52.22,52.96,50.61,50.74,50.74,970835,0.0000,1.0
2020-10-20,52.51,52.89,51.83,51.92,51.92,569136,0.0000,1.0
2020-10-19,52.41,53.2,51.76,51.97,51.97,734304,0.0000,1.0
2020-10-16,52.66,53.29,52.2,52.34,52.34,798051,0.0000,1.0
2020-10-15,50.06,52.59,49.58,52.29,52.29,1398944,0.0000,1.0
2020-10-14,51.89,52.35,50.51,50.54,50.54,545952,0.0000,1.0
2020-10-13,52.0,52.64,51.64,51.72,51.72,725459,0.0000,1.0
2020-10-12,51.62,52.61,51.4,52.31,52.31,636833,0.0000,1.0
2020-10-09,51.52,52.09,51.27,51.38,51.38,777085,0.0000,1.0
2020-10-08,50.92,51.59,50.83,51.1,51.1,787603,0.0000,1.0
2020-10-07,49.72,50.67,49.51,50.51,50.51,1543529,0.0000,1.0
2020-10-06,50.72,50.88,48.88,48.93,48.93,1201798,0.0000,1.0
2020-10-05,49.71,51.13,49.69,50.72,50.72,905270,0.0000,1.0
2020-10-02,47.97,49.62,47.51,49.33,49.33,646154,0.0000,1.0
2020-10-01,48.76,49.68,48.63,48.87,48.87,895053,0.0000,1.0
2020-09-30,49.0,49.85,48.49,48.7,48.7,1144057,0.0000,1.0
2020-09-29,48.62,49.21,48.22,48.92,48.92,970430,0.0000,1.0
2020-09-28,48.8,49.19,48.55,48.7,48.7,1032941,0.0000,1.0
2020-09-25,47.01,47.85,46.78,47.85,47.85,2060687,0.0000,1.0
