timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-03,18.73,19.07,18.5,18.87,18.87,206598,0.0000,1.0
2020-12-02,18.34,18.89,18.185,18.63,18.63,351889,0.0000,1.0
2020-12-01,18.45,19.17,18.09,18.505,18.505,349787,0.0000,1.0
2020-11-30,17.9,18.51,17.79,18.43,18.43,430189,0.0000,1.0
2020-11-27,17.47,17.9,17.47,17.74,17.74,183532,0.0000,1.0
2020-11-25,17.19,17.65,16.8572,17.53,17.53,235463,0.0000,1.0
2020-11-24,17.81,18.13,17.35,17.44,17.44,513999,0.0000,1.0
2020-11-23,16.95,17.92,16.87,17.62,17.62,754042,0.0000,1.0
2020-11-20,15.94,16.52,15.75,16.41,16.41,271075,0.0000,1.0
2020-11-19,15.5,16.01,15.36,15.98,15.98,272168,0.0000,1.0
2020-11-18,15.87,16.0954,15.61,15.64,15.64,532550,0.0000,1.0
2020-11-17,16.22,16.29,15.69,15.89,15.89,592894,0.0000,1.0
2020-11-16,15.75,15.95,15.42,15.52,15.52,382364,0.0000,1.0
2020-11-13,14.97,15.73,14.97,15.5,15.5,372720,0.0000,1.0
2020-11-12,14.84,15.1,14.66,14.81,14.81,395094,0.0000,1.0
2020-11-11,15.23,15.23,14.61,14.91,14.91,457724,0.0000,1.0
2020-11-10,14.54,15.41,14.47,15.25,15.25,539813,0.0000,1.0
2020-11-09,14.88,15.895,14.37,14.43,14.43,680948,0.0000,1.0
2020-11-06,15.46,15.72,13.86,13.93,13.93,515903,0.0000,1.0
2020-11-05,15.19,15.96,14.72,15.22,15.22,406488,0.0000,1.0
2020-11-04,14.77,15.52,14.605,14.92,14.92,280412,0.0000,1.0
2020-11-03,14.87,15.42,14.85,15.13,15.13,524445,0.0000,1.0
2020-11-02,13.98,14.69,13.97,14.56,14.56,309579,0.0000,1.0
2020-10-30,14.1,14.41,13.23,13.75,13.75,723481,0.0000,1.0
2020-10-29,14.1,14.1,13.46,13.82,13.82,492181,0.0000,1.0
2020-10-28,14.25,14.25,13.785,14.05,14.05,459096,0.0000,1.0
2020-10-27,14.47,14.69,14.21,14.45,14.45,758797,0.0000,1.0
2020-10-26,14.4,14.92,13.97,14.59,14.59,442838,0.0000,1.0
2020-10-23,13.94,14.68,13.25,14.62,14.62,438305,0.0000,1.0
2020-10-22,13.83,14.06,13.35,13.75,13.75,391645,0.0000,1.0
2020-10-21,14.9,14.9,13.75,13.91,13.91,922090,0.0000,1.0
2020-10-20,16.19,16.19,14.65,14.87,14.87,1057419,0.0000,1.0
2020-10-19,16.01,16.68,15.625,15.68,15.68,1216502,0.0000,1.0
2020-10-16,15.73,15.95,15.39,15.43,15.43,273544,0.0000,1.0
2020-10-15,15.2,15.8,15.01,15.76,15.76,199411,0.0000,1.0
2020-10-14,15.52,15.97,15.39,15.47,15.47,246939,0.0000,1.0
2020-10-13,15.22,15.6,14.9,15.52,15.52,292968,0.0000,1.0
2020-10-12,15.29,15.65,15.02,15.5,15.5,266571,0.0000,1.0
2020-10-09,15.62,15.65,15.15,15.3,15.3,238462,0.0000,1.0
2020-10-08,15.77,15.9,15.37,15.48,15.48,222627,0.0000,1.0
2020-10-07,15.28,15.74,15.13,15.58,15.58,727257,0.0000,1.0
2020-10-06,15.47,15.57,14.71,14.87,14.87,622923,0.0000,1.0
2020-10-05,14.67,15.37,14.67,15.3,15.3,393643,0.0000,1.0
2020-10-02,14.17,14.92,13.6,14.64,14.64,291464,0.0000,1.0
2020-10-01,14.26,14.62,14.14,14.61,14.61,441435,0.0000,1.0
2020-09-30,14.09,14.43,13.92,14.02,14.02,987707,0.0000,1.0
2020-09-29,14.01,14.33,13.74,14.0,14.0,499529,0.0000,1.0
2020-09-28,13.86,14.5,13.86,14.03,14.03,422904,0.0000,1.0
2020-09-25,13.49,13.79,13.44,13.77,13.77,348052,0.0000,1.0
2020-09-24,13.6,13.8,13.39,13.605,13.605,463305,0.0000,1.0
2020-09-23,14.34,14.58,13.68,13.73,13.73,482169,0.0000,1.0
2020-09-22,14.32,14.53,14.17,14.3,14.3,466391,0.0000,1.0
2020-09-21,13.5,14.27,13.3,14.23,14.23,503379,0.0000,1.0
2020-09-18,14.11,14.23,13.65,13.85,13.85,2131072,0.0000,1.0
2020-09-17,13.98,14.08,13.69,13.97,13.97,573821,0.0000,1.0
2020-09-16,14.25,14.33,13.87,14.1,14.1,742457,0.0000,1.0
2020-09-15,14.71,14.75,14.045,14.19,14.19,1014574,0.0000,1.0
2020-09-14,14.67,14.72,14.2,14.51,14.51,672501,0.0000,1.0
2020-09-11,16.14,16.1988,14.385,14.465,14.465,980734,0.0000,1.0
2020-09-10,16.07,16.79,16.07,16.14,16.14,646194,0.0000,1.0
2020-09-09,15.98,16.3107,15.12,16.04,16.04,405447,0.0000,1.0
2020-09-08,15.52,15.9,15.3,15.71,15.71,324834,0.0000,1.0
2020-09-04,16.43,16.43,15.1001,15.86,15.86,443310,0.0000,1.0
2020-09-03,16.79,16.82,15.93,16.1,16.1,371813,0.0000,1.0
2020-09-02,16.17,17.07,16.07,16.87,16.87,492395,0.0000,1.0
2020-09-01,16.03,16.285,15.44,16.13,16.13,562512,0.0000,1.0
2020-08-31,16.05,16.56,15.96,16.36,16.36,402539,0.0000,1.0
2020-08-28,16.33,16.33,15.79,16.13,16.13,452538,0.0000,1.0
2020-08-27,16.33,16.65,15.9,16.14,16.14,514282,0.0000,1.0
2020-08-26,16.68,16.74,16.0633,16.37,16.37,296194,0.0000,1.0
2020-08-25,16.52,16.82,16.2169,16.7,16.7,285727,0.0000,1.0
2020-08-24,17.41,17.44,16.31,16.47,16.47,650648,0.0000,1.0
2020-08-21,17.38,17.67,17.0,17.35,17.35,383838,0.0000,1.0
2020-08-20,17.55,17.87,17.35,17.42,17.42,452947,0.0000,1.0
2020-08-19,17.62,17.92,17.25,17.78,17.78,637390,0.0000,1.0
2020-08-18,17.27,17.8,16.91,17.6,17.6,884271,0.0000,1.0
2020-08-17,17.3,17.57,17.05,17.17,17.17,674564,0.0000,1.0
2020-08-14,17.2,17.83,17.07,17.25,17.25,584136,0.0000,1.0
2020-08-13,17.86,17.95,17.1,17.34,17.34,1117254,0.0000,1.0
2020-08-12,16.89,17.82,16.69,17.5,17.5,2829250,0.0000,1.0
2020-08-11,16.81,17.59,16.47,16.68,16.68,823689,0.0000,1.0
2020-08-10,16.2,16.9,16.01,16.5,16.5,978492,0.0000,1.0
2020-08-07,17.09,17.13,15.85,16.31,16.31,629251,0.0000,1.0
2020-08-06,17.24,17.91,16.525,17.1,17.1,2696180,0.0000,1.0
2020-08-05,13.89,14.0199,13.12,13.61,13.61,1134858,0.0000,1.0
2020-08-04,13.47,13.9199,13.17,13.65,13.65,832269,0.0000,1.0
2020-08-03,13.17,13.81,13.0,13.48,13.48,486312,0.0000,1.0
2020-07-31,13.55,13.6,12.81,13.12,13.12,775147,0.0000,1.0
2020-07-30,13.38,13.84,13.1008,13.52,13.52,662742,0.0000,1.0
2020-07-29,12.82,13.65,12.75,13.62,13.62,434721,0.0000,1.0
2020-07-28,12.5,13.04,12.28,12.73,12.73,448397,0.0000,1.0
2020-07-27,12.35,12.635,12.0,12.56,12.56,496488,0.0000,1.0
2020-07-24,12.51,12.89,12.27,12.36,12.36,264186,0.0000,1.0
2020-07-23,12.45,12.8,12.26,12.545,12.545,412275,0.0000,1.0
2020-07-22,12.95,13.26,12.665,12.73,12.73,306965,0.0000,1.0
2020-07-21,12.92,13.22,12.82,12.98,12.98,281254,0.0000,1.0
2020-07-20,12.82,12.99,12.46,12.71,12.71,288240,0.0000,1.0
2020-07-17,12.59,13.34,12.59,12.9,12.9,467700,0.0000,1.0
2020-07-16,12.4,12.74,12.01,12.58,12.58,331400,0.0000,1.0
2020-07-15,12.24,12.97,12.05,12.57,12.57,663200,0.0000,1.0
